dsample,diff_CV_AOI_RMSE_rand,diff_CV_AOI_MAE_rand,diff_CV_AOI_R2_rand,diff_CV_AOA_RMSE_rand,diff_CV_AOA_MAE_rand,diff_CV_AOA_R2_rand,diff_calAOA_RMSE_rand,RMSE_caoa_rand,n_predictors_rand,xy_as_predictor_rand,improvement_rmse_rand,improvement_aoa_rand,in_AOA_rand,in_AOA_wo_rand,diff_CV_AOI_RMSE_spat,diff_CV_AOI_MAE_spat,diff_CV_AOI_R2_spat,diff_CV_AOA_RMSE_spat,diff_CV_AOA_MAE_spat,diff_CV_AOA_R2_spat,diff_calAOA_RMSE_spat,RMSE_caoa_spat,n_predictors_spat,xy_as_predictor_spat,improvement_rmse_spat,improvement_aoa_spat,in_AOA_spat,in_AOA_wo_spat,diff_CV_AOI_RMSE_kndm,diff_CV_AOI_MAE_kndm,diff_CV_AOI_R2_kndm,diff_CV_AOA_RMSE_kndm,diff_CV_AOA_MAE_kndm,diff_CV_AOA_R2_kndm,diff_calAOA_RMSE_kndm,RMSE_caoa_kndm,n_predictors_kndm,xy_as_predictor_kndm,improvement_rmse_kndm,improvement_aoa_kndm,in_AOA_kndm,in_AOA_wo_kndm,diff_CV_AOI_RMSE_nndm,diff_CV_AOI_MAE_nndm,diff_CV_AOI_R2_nndm,diff_CV_AOA_RMSE_nndm,diff_CV_AOA_MAE_nndm,diff_CV_AOA_R2_nndm,diff_calAOA_RMSE_nndm,RMSE_caoa_nndm,n_predictors_nndm,xy_as_predictor_nndm,improvement_rmse_nndm,improvement_aoa_nndm,in_AOA_nndm,in_AOA_wo_nndm
sregular,-0.003792349347980034,-0.005514813342976613,-0.009217140062504181,-0.00237941147085248,-0.004169579849931021,-0.003483047979805476,-0.02498707653519315,0.06438530389218865,8,no,-0.33504662060814605,0.17831669044222728,98.00261665939817,97.82817269952028,0.0024131453807457737,4.2606105456582943e-4,-0.03834964810662145,0.003808773356453271,0.001566833323978084,-0.0361837344513084,-0.02688864546126979,0.07336500644393085,5,no,-5.315974032112466,-0.6963300341595889,98.88791975577846,99.58133449629307,-0.0021606451488702244,-0.005514472263803347,-0.017777458464219298,-7.327687463559995e-4,-0.004155446986076436,-0.012194994832764872,-0.024194679205870318,0.06706605955654595,9,no,-0.47495079457780254,-0.19991115059973197,97.97208896641953,98.16833842128216,-0.0027824537943566263,-0.0035545091134295548,-0.023446423621169,-7.384073707844135e-4,-0.001553240727357852,-0.02239191036400845,-0.021565620296456978,0.07578250172012574,4,no,-5.045162371998896,-0.7773534037295007,96.30178805058874,97.05625817706061
wregular,0.0025734473447916045,-0.002194685544896685,-0.006631846154634857,0.006173724938407954,5.219314044637297e-4,-0.014798888787731834,-0.014278340069287576,0.06810239471898737,6,no,-7.004573000683373,-0.3284821387836952,95.27692978630616,95.59092891408635,0.015927139521123027,0.014895621012595686,-0.04749917996927944,0.01828871913382127,0.016868999191542833,-0.04872070930632255,0.0012644074522430854,0.09336358067754232,6,no,-10.06100719012308,-1.7182283552192206,96.28870475359791,97.97208896641953,2.3044572021317655e-4,2.27184676388964e-4,0.005513095420215497,0.0029527530732006563,0.002097447184366469,0.005826309102291982,-0.012707779746756062,0.07405797336882149,6,no,-8.533503512149428,1.4069165834619302,97.44439598778892,96.09245529873527,5.806418877759983e-4,-0.0027959480330850134,-9.615344990181462e-4,0.005507379102584836,9.35576536192452e-4,-0.013943828226847255,-0.007326937269741041,0.0759897704968733,6,no,-6.953065858341412,-1.2037715122665678,94.13432184910597,95.2812908853031
random,-0.006337617251028604,-0.005851391487700815,0.021169342247531087,0.0018239675554975188,5.180372375642728e-4,0.008941298266730957,-0.0089123051449546,0.06992398138456547,10,no,13.295394679275004,-2.089756766015756,87.2481465329263,89.11033580462276,0.014631176104664162,0.015947922574559403,-0.07615453122862648,0.015077698278598464,0.017404219365564702,-0.05247504925268587,-0.021098541485210412,0.09677939299613883,4,no,-23.910113432969894,-5.061619718309863,94.06890536415176,99.08416921064108,-0.001833011468190343,-0.005283157734006727,-0.0029150491977322224,0.002088462535044175,-0.0017112586009831593,-0.0014878563547330304,-0.016812428041246552,0.06936500345944703,7,no,4.237703048257406,-1.1064534997075481,88.48233754906236,89.47230702136939,-0.027004644735855843,-0.015205854628716167,0.12143763188917645,0.00542006735694002,0.0022727870959382834,0.02252081307117726,-0.009145124718304282,0.08147991830135723,4,no,-32.31128272774457,-6.47362684232974,86.0662887047536,92.02354993458351
wclust,-0.049541832213894535,-0.03618154087522428,0.06790575015510991,-0.017749778434171637,-0.01502901914249033,0.005493858478089808,-0.01454468794682949,0.08275454096835472,4,yes,-8.701083717486432,-14.690256615878097,74.23026602703882,87.01264718709115,-0.023172530277762754,-0.017555285899983966,-0.08330077972568461,-0.023084821486827528,-0.01722262581229146,-0.07718056336476553,-0.045291267791912476,0.08819859491584611,2,no,-10.400015102001072,0.6940453560850603,99.33711295246403,98.6524204099433,-0.033669057728896015,-0.023310344065748598,-0.0047659637921153575,-0.023805507927290526,-0.01532302869237169,-0.01966551226348323,-0.028619907920826623,0.08737120230862733,3,yes,-3.224862421220808,-7.292007287335925,86.55037069341473,93.35804622764937,-0.031148241512813354,-0.023639699198650097,-0.019981409946081885,-0.02132442164548616,-0.01621174452776651,-0.0275581123084383,-0.0262250071615982,0.08381823128670568,5,yes,2.7100365161683317,-4.459453208123229,90.06977758395116,94.27387701700829
sclust,-0.044931023075735516,-0.03314839854869811,0.13276163833156707,-0.015437024259269905,-0.012443782530207413,0.088343198154342,-0.01592707098781168,0.063439907317537,6,no,8.218755363539623,16.486305945223776,76.04884430876581,65.28565198430005,-0.009077569537294355,0.007998537520291768,0.1292929673882095,-0.005481233873482594,0.011456551483696939,0.15549260491004357,-0.02490167049378346,0.10764522367186345,2,no,-17.287699221851724,0.5348333256489612,95.09376362843437,94.58787614478848,-0.006772528004813053,0.004580853418298253,0.06937502783556515,0.007780560468132566,0.015265517576393911,0.05079974150843125,-0.02021561372167177,0.09315687744224538,3,no,-9.150171292725204,-0.6466534503917588,91.79677278674227,92.39424334932403,-0.010213670751394954,-0.008568796921379254,0.04637772010753638,0.011957088864686036,0.005648265731406948,-0.0018675185496375146,-0.01277114994290382,0.08333649261976349,7,yes,-2.2783665587089845,-6.164129223913852,88.16397732228522,93.95551679023114
sregular,-0.002465240872208896,0.0020537652324047473,0.016955379289533168,-0.0024687585127369793,0.0021045225332643747,0.01832003429965323,-0.015086161638923443,0.08152084018529628,4,no,-2.049272475403064,0.47941590429274444,99.62930658525949,99.15394679459224,0.019721245391503578,0.019068519353724528,-0.05096626004612159,0.01982455796194768,0.019155071385116768,-0.05097595904451946,-0.01952397118602625,0.07088603482775507,6,yes,0.5231886017362161,0.10486760464912302,99.91277802006105,99.80811164413433,-5.502807758537148e-4,0.0027235890429342796,0.002634763069307766,-3.196504318086907e-4,0.002968611313887315,0.0035662412440827795,-0.01940094674935372,0.0721041787893483,6,no,-2.7047679078368994,0.3872387238723741,99.48975141735717,99.10597470562583,-0.0011149556706012559,0.0031523149857945326,0.019732017646795774,-5.477187741373957e-4,0.0037516663515287096,0.019892144052850225,-0.019211450413409756,0.0698040090483004,7,no,0.5527422985165081,-0.33886370637680174,98.76144788486698,99.09725250763192
wregular,-0.026550625140613085,-0.01704611133833868,0.06441769968655187,-0.00554964541559641,-0.004019538430671821,0.024485438395974057,-0.026153644287553374,0.05983718228959818,6,yes,1.8209985744488562,1.195199608131279,90.09594417793284,89.03183602267771,-0.027378110948571163,-0.0147044971696986,0.08949829005050047,-0.02357755635803996,-0.011651774482925564,0.0960742812413039,-0.033077478702299115,0.08627078960226496,3,no,-15.080633822182058,0.3500897666068157,97.50545137374618,97.1652856519843,-0.02360970269297609,-0.014025457011959036,0.061019509855317455,-0.0011248835652898082,-6.303614825321768e-4,0.01228865895233322,-0.024083302141945553,0.0631501047517253,6,yes,-4.312485979485476,-2.5257384778216023,88.36022677714784,90.64980375054513,-0.03480579744199261,-0.021169993305826612,0.11693783417558268,-0.01787694620427216,-0.010990954696406291,0.0779965014016536,-0.03194794849460453,0.07217103092997029,4,no,-18.72431154008417,-0.3360787655022414,91.82293938072394,92.1325774095072
random,0.007550208300116712,1.7418122853754547e-4,-0.01763771240097234,0.012391752093156308,0.0033895328937971897,-0.0176325138404142,4.00679831983039e-4,0.08190280250721849,9,yes,1.6934900691738994,2.711162255466054,97.31356301788051,94.74487570867859,0.016473525781246404,0.01627184335878222,-0.0182578184096418,0.02009661746061217,0.018446514929683258,-0.020722103039143125,-0.013414768343437647,0.07852151899427826,7,yes,-7.485725405444288,0.3454078469577475,98.82250327082424,98.48233754906236,0.001942466646036145,-0.0012192441613556176,0.012040101689615113,0.008710275735644701,0.0029684297265140797,0.00722895785302613,-0.00888345363497857,0.07771153759455009,6,yes,-4.4995531859280256,0.7067621175504957,96.31923244657654,95.64326210204972,0.0030765132423069136,-8.732765032546524e-4,0.0074904725128926986,0.010815678495962128,0.00386252555441223,4.8017320590409973e-4,-0.007806092825101585,0.07762926036280554,7,yes,-4.4506669978337206,1.2721010332950609,96.17095508068033,94.96293065852595
wclust,-0.025882624626792278,-0.01912211963271286,0.06484829329657327,-0.011127245950787665,-0.008337823595648414,0.053806542410576585,-0.017767226518730708,0.07380712195442989,6,no,-2.4456291060596,-1.6680523799625753,82.52507631923245,83.9249890972525,-3.4991767480703484e-4,0.0012895625428692853,-0.026564549757887468,4.63676339870267e-4,0.0027708954011794323,-0.0014551428328608562,-0.011806663927446753,0.10839257296583872,4,no,-12.912428578855744,0.1802938790228091,96.92978630614914,96.75534234627125,-0.01260713631066289,-0.009882764363279173,0.030688936954928248,0.008330386088635108,0.004540794599421721,-0.011115245391976503,-0.016770352767445984,0.06808159848903822,6,yes,3.031933701971101,2.2745912843785874,81.57435673789794,79.7601395551679,-0.00896124785567283,-0.008735934008258589,0.00825379530000292,-0.0018850441135171148,-0.0034142572145644534,-0.00514260805127853,-0.019875203708911313,0.08187471344788295,5,no,0.10976614020023062,3.4316560632350184,93.58918447448758,90.48408198866115
sclust,-0.07076493721735756,-0.05695986554981945,0.20717911195217975,-0.037559223231632535,-0.03135639863220181,0.15573321193823675,-0.039369588798329684,0.06159352297035845,4,yes,-3.633467483793936,12.377642218754433,69.09289140863497,61.48277365896205,-0.030964769195374373,-0.024220241945181173,0.06319209142566162,-0.027851570967957984,-0.02210522706382781,0.06179420054187745,-0.05096844507965696,0.07161437772610874,5,yes,13.74128740970663,3.820080615610108,98.84866986480593,95.21151330135194,-0.055007728001248715,-0.043084923652532636,0.19087019741515043,-0.04398357788902656,-0.0362018734124199,0.15880519463467646,-0.054251826299488576,0.07956501279239742,3,no,-1.9453444261679542,-0.26836479417784614,95.62145660706499,95.87876144788487,-0.06870464687183958,-0.05051058311351892,0.23088057328529832,-0.05654754192709835,-0.042355472486183356,0.18955954563198896,-0.06305449133932373,0.06811240285811476,6,yes,2.3124415185285594,-0.08251959840462644,95.0501526384649,95.12865242040995
