dsample,diff_CV_AOI_RMSE_rand,diff_CV_AOI_MAE_rand,diff_CV_AOI_R2_rand,diff_CV_AOA_RMSE_rand,diff_CV_AOA_MAE_rand,diff_CV_AOA_R2_rand,diff_calAOA_RMSE_rand,RMSE_caoa_rand,n_predictors_rand,xy_as_predictor_rand,improvement_rmse_rand,improvement_aoa_rand,in_AOA_rand,in_AOA_wo_rand,diff_CV_AOI_RMSE_spat,diff_CV_AOI_MAE_spat,diff_CV_AOI_R2_spat,diff_CV_AOA_RMSE_spat,diff_CV_AOA_MAE_spat,diff_CV_AOA_R2_spat,diff_calAOA_RMSE_spat,RMSE_caoa_spat,n_predictors_spat,xy_as_predictor_spat,improvement_rmse_spat,improvement_aoa_spat,in_AOA_spat,in_AOA_wo_spat,diff_CV_AOI_RMSE_kndm,diff_CV_AOI_MAE_kndm,diff_CV_AOI_R2_kndm,diff_CV_AOA_RMSE_kndm,diff_CV_AOA_MAE_kndm,diff_CV_AOA_R2_kndm,diff_calAOA_RMSE_kndm,RMSE_caoa_kndm,n_predictors_kndm,xy_as_predictor_kndm,improvement_rmse_kndm,improvement_aoa_kndm,in_AOA_kndm,in_AOA_wo_kndm,diff_CV_AOI_RMSE_nndm,diff_CV_AOI_MAE_nndm,diff_CV_AOI_R2_nndm,diff_CV_AOA_RMSE_nndm,diff_CV_AOA_MAE_nndm,diff_CV_AOA_R2_nndm,diff_calAOA_RMSE_nndm,RMSE_caoa_nndm,n_predictors_nndm,xy_as_predictor_nndm,improvement_rmse_nndm,improvement_aoa_nndm,in_AOA_nndm,in_AOA_wo_nndm
sregular,0.011358572458618418,0.007326336512400111,-0.03683365840245156,0.011485611343113156,0.007529189582909629,-0.035469862328453394,-0.010020075299894626,0.07248241497083706,7,yes,10.75206788993268,0.008844861135690352,98.62189271696468,98.61317051897078,0.0019620672613977763,0.007132618592955123,-0.014767104343194615,0.0019662429864616,0.007156170316050536,-0.014280681163054143,-0.019061307740341954,0.0883623443491271,4,no,-19.88954175847956,-0.017455053237918246,99.92150021805494,99.93894461404274,-0.0028436329002033967,0.003354574236149113,0.014547634113510677,-0.0027223394672110657,0.0034987904286493815,0.015369072163478159,-0.021340653736496767,0.07698700882262484,6,no,-4.614773222706569,0.32021757248760496,99.73833406018316,99.41997383340602,0.005719147174726658,0.0015263959665842292,-0.02806410978133833,0.006303269357566893,0.002119792966788825,-0.027672044617190417,-0.014881925250146907,0.0752915555356956,7,yes,2.399251081946318,-0.6641449683321653,98.49542084605321,99.15394679459224
wregular,-0.022418752675896186,-0.018321532324273943,0.04452079229178274,-0.019049612720863113,-0.0155747861062243,0.05102083036335692,-0.028250176777243743,0.08083185042143569,6,yes,-13.662704073397173,3.5274930102516215,96.89053641517663,93.58918447448758,0.005762678349943706,0.00679227784908655,-0.06662342861452542,0.008163381489786917,0.009142709674448912,-0.057029643757879,-0.020989308812928265,0.08424523922828636,6,no,-5.721177480256734,-1.8789052186922444,97.2481465329263,99.11033580462276,-0.016587936321327934,-0.011361104763730867,0.02247711244522388,-0.010178630659489027,-0.0070158997293568864,0.018232451346973044,-0.022314022325808175,0.0813902388877793,4,yes,-7.236202048629576,1.1487964989059085,96.76406454426515,95.66506759703445,-0.028127304433432643,-0.023141377427654167,0.06642291228744879,-0.021556486294720137,-0.01806466604446054,0.0676547095230382,-0.02781866859265801,0.08299109480201096,4,yes,-14.300831711857398,-0.3742203742203684,94.04273877017009,94.39598778892281
random,-0.0014814040676628948,-0.009176535845893757,-0.017524638282860105,0.002217915304868312,-0.006005965854080225,-0.004119868489149803,-0.010296906520208607,0.07892453935567012,12,yes,0.913617831765467,0.6527719494567922,94.14304404709986,93.53249018752726,0.011569481515721056,0.004302760401717842,-0.07799569144574625,0.013692607229455755,0.005983828511296058,-0.07537254469493504,-0.019194291784076445,0.09329377834801209,5,no,-20.984331921375592,0.15055572775981946,98.63497601395552,98.48669864805932,0.0011298437831300384,-0.003393739388319883,-0.039742204150214566,0.004824014740395774,-3.879325472112005e-4,-0.034417064481559345,-0.009439420380989022,0.08185589584182507,6,no,-1.2993930971366994,2.097644184223867,96.58089838639337,94.59659834278239,-7.511044912667381e-4,-0.00949252134374333,-0.030614560756968445,0.004987273255802102,-0.004726807719782289,-0.014955439474492294,-0.01660512245910506,0.07230312867778936,12,yes,5.351393694444588,-2.1153315552285554,92.83035324901874,94.83645878761448
wclust,-0.06784958309020128,-0.03941901578863964,0.24051691482571513,-0.024190290842613343,-0.013164808201267017,0.1390795707105733,-0.027131572789059713,0.0693777286445597,6,yes,-2.014755513979395,1.7425992021834855,84.53554295682511,83.08765808983864,-0.018078755008779146,0.005539102979812749,0.07399102807296576,-0.003680358459748234,0.015434771310201184,0.06345905269924779,-0.02345991603147428,0.10640306422870795,3,no,-2.0304836115878255,-4.623896719799763,94.72307021369384,99.31530745747928,-0.03831406704472341,-0.019905985909681928,0.1516103890569801,-0.02948399198641384,-0.013038980353187526,0.1532074252401241,-0.04302601073152558,0.0928959645061281,3,no,-3.9365443436023204,2.4452058009104998,95.19406890536415,92.92193632795464,-0.06276513404165798,-0.037838088266425735,0.29507848717453555,-0.05944236569852124,-0.034373647037433244,0.3098396893383329,-0.0781010389919839,0.08520511486798446,2,no,-14.626307989264403,4.2616311923149475,96.55909289140864,92.61229829917139
sclust,-0.0626731251121863,-0.047322205140086816,0.19780469218821817,-0.03408132250401766,-0.025321268106841592,0.14565555222082993,-0.04185504812383667,0.04822315875243803,3,no,9.979474439737844,51.621256473767176,58.73092019188836,38.735281290885304,-0.02918228915464452,-0.02427810708377491,0.10350812664708375,-0.025877828733113256,-0.02174347555596344,0.10527124899452989,-0.05142998671923535,0.08129454108199996,4,no,-3.097076103994997,5.759728953931586,98.01569995638901,92.6777147841256,-0.007328066947645026,1.728835164745146e-4,0.0377040856114903,-0.004241807706453937,0.002314502740022026,0.0383761180180644,-0.031130935285576533,0.09349953710090649,3,no,4.438000495981156,6.050222952358607,98.53467073702573,92.91321412996075,-0.030676364779984658,-0.022126265064534245,0.1335715658218658,-0.02820063899478302,-0.020285125899802428,0.1355846018259269,-0.04841311598297093,0.08304495067376949,3,no,-3.238151482721442,2.357572740847988,98.64805931094635,96.37592673353686
sregular,-0.0035144979052708913,-0.001119103187852813,0.002055514865051511,-9.714813910345899e-4,9.680200456603227e-4,0.004497897934090167,-0.019539181757340873,0.07257733940065132,7,no,-0.7490344444846659,0.19231629321526283,97.69733972961187,97.50981247274314,0.014024721501193702,0.012750109699705942,-0.050139901918690444,0.014619702904071288,0.013270337000858473,-0.0495024665125795,-0.006507869143625153,0.08498644686969375,6,no,-4.839123375198064,-0.38473309141781586,99.36764064544266,99.751417357174,-0.0025537519419801813,2.5772592171804942e-5,0.0065427633162618015,-0.001078307501426859,0.0013433241481707048,0.008565809181383388,-0.01546634223185088,0.07137612441615425,6,no,0.23073263344442024,0.7833131909941338,98.19450501526384,97.43131269079808,7.76715234074965e-4,4.664306224513026e-4,-0.007051267070629641,0.0024082945325233224,0.0018170283467971032,-0.0051849214928121334,-0.012824785356997076,0.06959545126352226,8,yes,4.260907342263705,0.4817772226435316,98.23375490623637,97.76275621456607
wregular,-0.005626716460204864,-0.003745314314397119,0.019325630389578685,-0.001818247106616891,-8.534778971793083e-4,0.016932977218013345,-0.005049776120664637,0.07992046029406999,6,yes,7.737316119570635,4.041076352572031,95.4382904491932,91.73135630178805,0.020266772429618995,0.016237231483952216,-0.06613755225427775,0.022343459820182848,0.017745913028170746,-0.06889740611929951,0.00627984579436297,0.09714658899156396,7,yes,-2.667282804341704,-0.2747252747252733,98.15089402529438,98.4212821631051,-0.006661256044624045,-0.004318395026322017,0.022488666190548012,-0.0026674626673615642,-0.0010851949380578235,0.022403401924736333,-0.011717487467927779,0.07084928070626947,7,yes,8.16816914839913,1.219683162764603,94.46140427387701,93.32315743567379,-0.008871668231947641,-0.006057974457370871,0.03180963522096392,-0.004696069661543512,-0.0028535876693360496,0.03086728109732073,-0.014949227090063369,0.07263085344485541,6,yes,-1.287817594919648,-0.06509205876882938,93.73746184038377,93.79851722634103
random,-0.005279505728558981,-0.005529047117543762,0.017531697489209463,-0.004721005256992303,-0.004882150484517539,0.021563585430613763,-0.019597179353940813,0.07154388141731478,8,yes,2.4301252307160475,-3.1729290265875636,96.08809419973834,99.23680767553424,0.013739242160564727,0.017644852433798236,-0.04195370081153449,0.013779256908688559,0.01767795764160625,-0.04204235624064423,-0.008444588493339303,0.09901751209818357,3,yes,-16.319232985768302,0.030545010254388803,99.97383340601831,99.94330571303969,-0.011254517406187381,-0.005484040788159186,0.037614921919621125,-0.010687437063707853,-0.005006292965712464,0.04038284938476888,-0.019305970062305153,0.07302327691900248,6,yes,-0.5574336058940579,-2.538694260534054,96.93850850414304,99.4635848233755,-0.012263851494494715,-0.008442198018581273,0.05391876450068611,-0.00869668189971233,-0.00590947335072739,0.04744411769197143,-0.02744938948608759,0.07502713059333535,4,yes,-13.13571710711862,-2.038735983690119,96.39337112952464,98.39947666812037
wclust,-0.031690180064275444,-0.022471567974402376,0.14474281956719948,-0.012217748717101129,-0.01156649401391012,0.08519416586840867,-0.0055074392841960584,0.09827097165902635,4,yes,-24.0592388677813,-3.965785381026428,91.56127344090712,95.34234627126035,-0.01678585178482031,-0.004367020849089839,0.10768214597579706,-0.008853983422334927,9.362091875304845e-5,0.08558145034071529,-0.01466194731302052,0.12306944391473938,2,yes,-42.689788698651284,0.43068999200781843,98.64369821194941,98.22067160924553,-0.013941013088552459,-0.008449285078967292,0.06949751882845923,0.006072311200429684,0.002548957293026205,0.01934777335794091,-0.012700121384591812,0.07595598265501949,4,yes,-9.798170120374795,-3.6060523693032405,92.79546445704318,96.26689925861317,-0.030567013864305242,-0.018994807994932333,0.1536116467274551,-0.00816980833002752,-0.008520349689470519,0.0731690545959447,-0.02236324978517354,0.08521866640759192,3,yes,-36.675555971018376,-1.8106476893973515,95.07195813344963,96.82511993022241
sclust,-0.14738302221414126,-0.09762171029520891,0.5604472807132199,-0.05225688855526605,-0.03739831333848637,0.20690585444738263,-0.05110886605912412,0.053208644871436,3,yes,5.247705015205784,-6.118560855865757,55.87440034888792,59.515918011338854,-0.10475865882869023,-0.05630692730509418,0.44074316038486827,-0.006799176344761071,0.0022074046484821946,0.09745083900968043,-0.0386602515134359,0.07787670296267495,6,no,-17.082643314207008,-2.769098157526139,78.70911469690361,80.9507195813345,-0.10938988092918057,-0.06203713747416051,0.43750662718409983,-0.04480552708712475,-0.023632069242699907,0.2224104078839375,-0.05878438222073977,0.08870247251923306,8,no,-11.970233359387164,18.1886617638543,89.01003052769298,75.31181857828173,-0.08292415517762895,-0.05960269834585637,0.2893524762601179,-0.0390848521195674,-0.02876580825768628,0.21942612477867396,-0.059966429660200174,0.08484597106134871,4,yes,10.94962683496508,5.812286313003185,83.68076755342346,79.0841692106411
