dsample,diff_CV_AOI_RMSE_rand,diff_CV_AOI_MAE_rand,diff_CV_AOI_R2_rand,diff_CV_AOA_RMSE_rand,diff_CV_AOA_MAE_rand,diff_CV_AOA_R2_rand,diff_calAOA_RMSE_rand,RMSE_caoa_rand,n_predictors_rand,xy_as_predictor_rand,improvement_rmse_rand,improvement_aoa_rand,in_AOA_rand,in_AOA_wo_rand,diff_CV_AOI_RMSE_spat,diff_CV_AOI_MAE_spat,diff_CV_AOI_R2_spat,diff_CV_AOA_RMSE_spat,diff_CV_AOA_MAE_spat,diff_CV_AOA_R2_spat,diff_calAOA_RMSE_spat,RMSE_caoa_spat,n_predictors_spat,xy_as_predictor_spat,improvement_rmse_spat,improvement_aoa_spat,in_AOA_spat,in_AOA_wo_spat,diff_CV_AOI_RMSE_kndm,diff_CV_AOI_MAE_kndm,diff_CV_AOI_R2_kndm,diff_CV_AOA_RMSE_kndm,diff_CV_AOA_MAE_kndm,diff_CV_AOA_R2_kndm,diff_calAOA_RMSE_kndm,RMSE_caoa_kndm,n_predictors_kndm,xy_as_predictor_kndm,improvement_rmse_kndm,improvement_aoa_kndm,in_AOA_kndm,in_AOA_wo_kndm,diff_CV_AOI_RMSE_nndm,diff_CV_AOI_MAE_nndm,diff_CV_AOI_R2_nndm,diff_CV_AOA_RMSE_nndm,diff_CV_AOA_MAE_nndm,diff_CV_AOA_R2_nndm,diff_calAOA_RMSE_nndm,RMSE_caoa_nndm,n_predictors_nndm,xy_as_predictor_nndm,improvement_rmse_nndm,improvement_aoa_nndm,in_AOA_nndm,in_AOA_wo_nndm
sregular,-0.006348712830688746,-0.006709508725990826,-0.020249785959987165,-0.0016117190716621321,-0.0034149933537602623,-0.02743503088974697,-0.015476648014662642,0.07930417710357461,7,yes,-1.6389299301168063,-1.0978753666992513,97.03881378107283,98.11600523331879,0.009446138226752332,0.00939465607794912,-0.08258792781110347,0.01133088310355708,0.010795135176223852,-0.08362813625716536,-0.028146360110503185,0.06750213664820501,8,yes,0.49075372067203576,-0.1897114621018149,98.66114260793721,98.84866986480593,-0.004213774285129174,-9.072172674261941e-4,3.6719379819638576e-5,8.932522386226882e-4,0.0023739236441943923,-0.007132276986246633,-0.015324243775507673,0.07621497107189368,6,yes,-5.887132404835844,-1.610625717059408,97.2394243349324,98.83122546881815,-0.004245237372872995,-0.006006798357681684,-0.02163549911052709,0.0012470098756274528,-0.0020237721801399516,-0.021356976953303852,-0.018352052040052552,0.07000436360867744,9,no,0.3289356390328544,-2.951931973388549,96.06192760575665,98.98386393371129
wregular,-0.006405998165535637,-0.007583195636263501,-0.022316417904272523,0.001997943413346373,-0.0012446789230218525,-0.0188201149392776,-0.00904445678416095,0.08456457728086408,4,yes,-3.3820843307482993,-3.7845903418339613,92.79982555604013,96.45006541648496,-1.248339498867157e-4,0.006261964494717373,-0.023704190584234675,0.0010315321266937683,0.00748049416237985,-0.017095732956485588,-0.03859072782630976,0.06971885091470068,6,no,-11.588388177616253,-0.9447579057866324,98.76580898386393,99.70780636720453,-0.016716620357009576,-0.009931037943156737,0.04039557923624948,-0.009987254210492486,-0.005259952651869695,0.037737276571130574,-0.02740626566423149,0.07070468679006767,6,yes,-5.896662015082101,-0.6218176902626917,96.18403837767117,96.78587003924989,-0.009230116756959394,-0.010710528657418013,0.011393720644051752,0.0023214022493589087,-0.002923379869403657,-0.0033508161290007887,-0.015776729200344272,0.07214476207122118,6,yes,4.196057104879849,-3.1138589286520255,93.6284343654601,96.6375926733537
random,-0.003825315901563653,0.0017201600372700743,0.029752322186174074,-0.001257201935848884,0.004007809897784362,0.0341160265291619,-0.00968678870463395,0.0733972738478567,9,no,-5.818228418131746,0.809900809900808,96.62450937636284,95.84823375490623,0.02862947893057162,0.020723457188560765,-0.10538460822732365,0.03018266070761985,0.02193881142709221,-0.10469597369545969,-0.013669350369221886,0.09057085165825739,4,no,-19.644058896536773,-0.38179663843420536,98.99694723070213,99.37636284343655,0.004482318950124048,0.006434702311299445,0.00690707362342402,0.0078577130553832,0.008715014291609743,0.0015300264507569494,-0.004716332313020405,0.07840786351869422,7,yes,-2.9987535273094683,-0.615192582025674,97.22634103794157,97.82817269952028,0.008202501532304576,0.008662814269142255,-0.006333282574094712,0.012995362753523837,0.012269301283689894,-0.008316311512938324,8.370855296830765e-4,0.08096275897836384,7,no,-5.446462337896545,-0.5942390564753806,95.56912341910162,96.14042738770169
wclust,-0.030743875357183453,-0.028883315616267266,0.06627421332853689,-0.023226400214999596,-0.02234133152588974,0.07629372121301015,-0.015867141681666072,0.08168459158937948,6,no,6.533294327539825,1.0347520499804908,90.27474923680768,89.35019624945485,-0.013989113869160713,-0.0063024930953024805,0.025711213031255564,-0.012128060100403765,-0.00410988150142115,0.049125934635819934,-0.023911986799952822,0.10815966491379486,2,no,-18.41408802377524,-0.5429944810397023,97.45311818578281,97.98517226341038,-0.005619338372478605,-0.009515513150962662,-0.006156915072810798,-0.004822388686229834,-0.00849979835262886,0.005397425462641436,-0.020391496174930968,0.08764677115020603,6,yes,2.052623027466722,0.2580874827570788,98.25992150021806,98.00697775839512,-0.013428922054760858,-0.018710921427081167,0.0027471468491925277,-0.01082268144624142,-0.016355775272795636,0.016316958198641207,-0.020824969120259287,0.08439109032734707,7,no,3.332302368965892,-0.2985340640734402,97.58395115569122,97.8761447884867
sclust,-0.12708343462948113,-0.07309006192806247,0.47267542444719596,-0.009294613323413095,-0.005570109317157401,0.0371460737880146,-0.011995898060215893,0.06282515094337485,8,yes,-5.423611491530636,-10.038263780939857,65.62145660706497,72.94374182293937,-0.041000362900236995,-0.02306548342065315,0.06634330163670266,-0.005313247414797342,0.0014445431477306397,0.03673022304291862,-0.02854051076298389,0.08639402375221569,6,yes,16.953261803213525,3.765667868094021,84.12123855211513,81.06846925425208,-0.07505342448578509,-0.03816751334392904,0.2263286135790309,-0.009700283011725236,0.003958505725651554,0.03373246613915426,-0.02632729322067162,0.09357085930638134,3,yes,-4.92703004800114,-0.7888151452507751,79.53336240732665,80.16572176188399,-0.06479243838395553,-0.03384303927912542,0.1814470500870472,-0.008016530290816282,0.001390114311707269,0.045585852880012934,-0.024794651633448045,0.08475735571016131,8,yes,3.1300649907725195,4.031772117228138,82.82163105102485,79.6118621892717
sregular,0.0057744564184791375,0.005439420735242451,-0.03284723021693947,0.008773946373903121,0.0076598024093980505,-0.03112265874782849,-0.010019267832940298,0.07205819647977513,9,no,1.1232720042818687,-1.2425930839303123,97.3964238988225,98.62189271696468,0.02666559714334124,0.02509564146325581,-0.12029000891174024,0.026961294680083375,0.02534634796069682,-0.12000829989956074,-0.006308690919920562,0.08391469919320399,6,no,-1.6577108986534992,-0.1792271376114632,99.58569559529002,99.76450065416485,0.00877910918921078,0.009275073384958643,-0.046033622790073836,0.009976437312711903,0.010259097416319057,-0.04331476370055598,-0.011896579763075635,0.07758742017077164,7,no,-0.5540394073721607,0.8734211233539501,98.21631051024859,97.36589620584387,0.011758550089479888,0.008866718017123146,-0.04529334734098278,0.014875895872853734,0.011306342416072424,-0.04562380622686968,-0.00784120878513514,0.07535473878274196,6,no,1.4029198103496527,-1.4784886560404866,96.77278674225906,98.22503270824248
wregular,0.004766381927273675,0.002614569612760853,-0.04517141257596313,0.00832891400992214,0.005519703406788937,-0.04210333335133731,-0.013945944571639057,0.0696035278608589,6,yes,5.1436815881986595,0.24946872401366066,94.6358482337549,94.40034888791976,0.02759291047267004,0.02591471613904893,-0.1666571376634065,0.02820295063697556,0.02649730545066692,-0.16468541385825541,-0.012032841440492673,0.0839975431708715,5,yes,-11.241710240000662,-0.17960399509373715,99.37636284343655,99.55516790231138,0.01055228163949673,0.010412792201262053,-0.05796818826466699,0.011656797743598832,0.01150867687041919,-0.05445590855434024,-0.001946121072379639,0.08404190689523974,7,yes,6.113340025811417,2.9513730499041992,98.42564326210204,95.60401221107719,0.012598503752051876,0.008884180639540398,-0.07135658897211927,0.015772855954328605,0.011672873372802796,-0.06381880787682426,-0.005843901262364809,0.07451136816942251,6,yes,4.882389517315717,-2.3885350318471406,93.56737897950283,95.85695595290014
random,-3.531647454754483e-4,-0.007480132732693108,-0.032293375548078096,0.002330569848372613,-0.0053622480191812885,-0.0296358041727528,-0.011103254358958467,0.07511592877302439,6,no,7.795522183452324,0.5986676269355418,97.46620148277366,96.88617531617967,0.01798944304653652,0.013415748700393373,-0.1396468960564804,0.019039880272341325,0.014361028903939366,-0.1358188232584442,-5.937297444660872e-4,0.1081929643189607,3,no,-17.79917380393764,-0.44845020883710746,98.74836458787615,99.19319668556477,-9.026565196156577e-4,-0.00526734370824275,-0.01920092087596237,0.0027119529219897243,-0.0028658840856189555,-0.019910464527303606,-0.010021052908544312,0.07441615125798631,9,yes,6.347295974195613,0.337169573817666,97.33536851286524,97.0082860880942,-4.8107559618322526e-4,-0.007027077815142994,-0.022199729589210238,0.005052075760128422,-0.0035485967369987756,-0.026007640641704688,-0.01336308180025994,0.06960432491680299,7,yes,8.829403420609225,-2.5491332055795577,95.3641517662451,97.8587003924989
wclust,-0.014539961085542535,-0.012464193340057786,0.02039344975079349,-0.0074347536920671,-0.006398355956855478,0.03846301715993694,-0.012534095848110563,0.07799265208683596,6,no,-7.020463007055942,-1.1256233673711666,90.78935891844745,91.82293938072394,0.020072062024462115,0.020565868288964825,-0.15246836414530995,0.022293121270334254,0.02279022380273639,-0.13941510404356416,0.0034264826628464806,0.10767690918560782,4,no,-15.651785716289998,-1.1860174781523092,96.65067597034452,97.81072830353249,-0.015737929323343405,-0.008034720911763188,0.03468364222364961,-0.011949134532297276,-0.004798604899520276,0.046959277666102195,-0.021154691232207368,0.07762615089094135,6,yes,-11.509023340753627,2.5270079849694547,95.19406890536415,92.84779764500655,-0.0016232334144503507,-0.0032956779475812326,-0.023301494472524498,0.002239650543941679,8.407644155374039e-5,-0.010318719714348168,-0.010304475108518646,0.08548980677962305,6,yes,-11.365145075356152,1.6191318103568442,95.25076319232446,93.73310074138683
sclust,-0.05821027341104504,-0.042211048440038805,0.17589009265410216,-0.012546541436973216,-0.012632336404445964,0.07738906172880611,-0.010873937435461459,0.06737347220154799,8,no,0.8378235120582296,5.929564796236058,66.76842564326209,63.030963802878325,-0.06412979384095784,-0.03453052618042787,0.2602166912479843,-0.06216661356234317,-0.033212882572178595,0.2645242573066149,-0.08008677310057986,0.09183515548087977,3,no,-28.83399894364061,-0.679437163021081,98.81378107283035,99.48975141735717,-0.03427952232343222,-0.016783871452532212,0.12636540574066735,-0.022321104437063935,-0.009271402669599957,0.09901457086625509,-0.0464638338569367,0.08741518404592702,4,no,8.129480677885823,0.40648570525269556,96.95159180113389,96.55909289140864,-0.05610667131855282,-0.031336330655699934,0.22616842380747104,-0.034522902094898666,-0.019311927635875317,0.162752083458222,-0.05012222347278765,0.08621392484103159,6,no,-14.716141123550333,-2.9639175257732044,95.23331879633668,98.14217182730049
