dsample,diff_CV_AOI_RMSE_rand,diff_CV_AOI_MAE_rand,diff_CV_AOI_R2_rand,diff_CV_AOA_RMSE_rand,diff_CV_AOA_MAE_rand,diff_CV_AOA_R2_rand,diff_calAOA_RMSE_rand,RMSE_caoa_rand,n_predictors_rand,xy_as_predictor_rand,improvement_rmse_rand,improvement_aoa_rand,in_AOA_rand,in_AOA_wo_rand,diff_CV_AOI_RMSE_spat,diff_CV_AOI_MAE_spat,diff_CV_AOI_R2_spat,diff_CV_AOA_RMSE_spat,diff_CV_AOA_MAE_spat,diff_CV_AOA_R2_spat,diff_calAOA_RMSE_spat,RMSE_caoa_spat,n_predictors_spat,xy_as_predictor_spat,improvement_rmse_spat,improvement_aoa_spat,in_AOA_spat,in_AOA_wo_spat,diff_CV_AOI_RMSE_kndm,diff_CV_AOI_MAE_kndm,diff_CV_AOI_R2_kndm,diff_CV_AOA_RMSE_kndm,diff_CV_AOA_MAE_kndm,diff_CV_AOA_R2_kndm,diff_calAOA_RMSE_kndm,RMSE_caoa_kndm,n_predictors_kndm,xy_as_predictor_kndm,improvement_rmse_kndm,improvement_aoa_kndm,in_AOA_kndm,in_AOA_wo_kndm,diff_CV_AOI_RMSE_nndm,diff_CV_AOI_MAE_nndm,diff_CV_AOI_R2_nndm,diff_CV_AOA_RMSE_nndm,diff_CV_AOA_MAE_nndm,diff_CV_AOA_R2_nndm,diff_calAOA_RMSE_nndm,RMSE_caoa_nndm,n_predictors_nndm,xy_as_predictor_nndm,improvement_rmse_nndm,improvement_aoa_nndm,in_AOA_nndm,in_AOA_wo_nndm
sregular,-0.01610375799206956,-0.012446806214587769,0.007950827744424016,-0.00780302432236607,-0.006997884923847397,0.0019489974392183917,-0.021230687502149057,0.08114404877140158,4,yes,-14.661753745271122,-1.90642021609072,95.81770606192761,97.67989533362407,-7.866575215019489e-4,0.004434069140720226,-0.045315022545255434,0.0010906670840090116,0.005783279589887863,-0.04403120707174224,-0.031766043986942216,0.07048085395242588,7,no,-2.9305649393782036,-0.8683888985861449,99.07108591365024,99.93894461404274,-0.008459791399761829,-0.0052850041326870795,-0.023934863448474397,-0.006616147814021117,-0.0037620925734726807,-0.019503861684158408,-0.021487634551615162,0.07638120483377046,8,yes,-1.0509776610132815,0.41761073348440153,98.57392062799826,98.1639773222852,-0.014358154212115337,-0.008391313132408096,-0.0036805386226202996,-0.0093013231046076,-0.0050035710720304355,-0.005254922417968433,-0.0210680331281254,0.0761870008046207,7,yes,-4.3576187827838115,-0.2444118561969577,97.89795028347143,98.13781072830353
wregular,-0.010059218194172034,-0.004656067714036843,0.033175931291469785,-4.469327727510547e-4,0.0027117864875131764,0.022695286844791163,-0.014394558587009651,0.08596120653979777,4,no,-12.789959434729958,-4.508433842182561,93.57174007849977,97.98953336240731,-0.004292239911259113,0.006932895427338687,0.026895555062248944,-0.003073728203714182,0.007982635682044867,0.028026545297833882,-0.00901379815482016,0.1022444818980049,4,no,-16.079997539404648,0.2691018175401526,99.1234191016136,98.85739206279982,-0.009562357401749585,-0.004506298906251607,0.020931470671690877,-0.004798047202877881,-0.0012275026954270962,0.010353251227953386,-0.014143777505845903,0.07751815475610635,9,yes,3.9697286261794016,0.6457731213872908,97.19581334496293,96.57217618839947,-0.010691196093101596,-0.006759683223910934,0.022432950442911492,-0.0021533533935849253,-0.0012845064174981796,2.3280142367898549e-4,-0.015468435727838209,0.07835925932696954,7,yes,-3.2748667488538676,-1.4661838987975628,96.1317051897078,97.5621456607065
random,0.0023744220417130646,-0.001842431039577222,-0.0076883418097243306,0.0047604120304896025,3.917623652546498e-4,-0.002775076006978683,-0.009951862992212429,0.07690057982351987,6,yes,-3.5906381896259854,-4.146576663452269,95.36851286524204,99.49411251635412,0.013663600184646893,0.013923136547431561,-0.06009496945723869,0.013850212808547369,0.014131351382085197,-0.05940777250873286,-0.0065173779240929874,0.08939370199505237,5,no,-12.389365575677116,-0.22345879156992204,99.31094635848233,99.53336240732665,-0.005260170314855678,-0.005441791445565211,0.016373601911400804,-0.004743184270216527,-0.004636667348907594,0.02177581249514937,-0.011085898483950335,0.08313439143493428,6,no,-12.786883790522651,-1.8363133154680793,97.448757086785875,99.27169646750981,0.0013908482938412153,-2.6735476747455356e-4,-4.0306532190270694e-4,0.002004489975254875,5.541409536588687e-4,0.00498470662099626,-0.0030660512462612616,0.08546823082505525,6,no,-2.1080685885721073,-2.1211189671072805,97.20017444395988,99.30658525948539
wclust,-0.05092371445824992,-0.038964981095949605,0.1759248799786285,-0.026436468293347518,-0.022655780715763463,0.11036072041761602,-0.030941430343613643,0.07467059896293127,4,no,-10.734593281765854,9.510598157807115,86.07064980375054,78.595726122983,-0.03726200551351577,-0.01701746316629442,0.15190343240984716,-0.022029076525116972,-0.007982856590047036,0.12034429331086904,-0.044180241256923575,0.07383239459714135,6,no,-13.167750928293017,2.97619047619048,92.79982555604013,90.11774967291758,-0.06996951689530491,-0.03531244685771123,0.303499712289659,-0.04000200512764328,-0.0188755204344936,0.24500767035552273,-0.056412396091480965,0.0736467901008975,4,no,-38.07661884745693,2.0812476948206005,84.49193196685565,82.76929786306148,-0.031436964730533576,-0.022428912282385888,0.0784611533291869,-0.022235847287584792,-0.014143329907293514,0.08188077028792007,-0.029410471996827392,0.08536020653657334,4,no,-4.996590417949935,10.437090397010232,88.92280854775403,80.51897078063672
sclust,-0.08638680922388749,-0.058551261390012155,0.31304057049622225,-0.029075314459671694,-0.02042425699115364,0.1115181282338562,-0.025146208295858535,0.057803828172312305,6,no,-28.51592644185254,16.00953206239167,70.06105538595726,60.392498909725255,0.0025101709791307547,0.01073356488707801,0.05880960362350085,0.006440832433730281,0.014662431909270413,0.0736435653754991,-0.024747612217889597,0.10537100375701017,3,no,-15.6422252710575,-5.590062111801246,93.46707370257305,99.00130832969909,0.03527676757490146,0.0485749474831037,-0.027453356817902952,0.03858838002067842,0.05102682129554027,-0.02485690963330167,-0.012008868248612706,0.10412845206613736,5,no,-1.9962819961035982,-2.469135802469115,96.81203663323159,99.26297426951591,-8.210191674994649e-4,0.005959764470174406,0.08632414809284783,0.004508082068939184,0.010016204046293789,0.0806276432330475,-0.01959858238201735,0.10410110861973286,6,yes,-15.05166814514814,-4.424623225976533,94.86262538159616,99.25425207152202
sregular,-0.007106070673418424,-0.0037803335547347133,-0.012890601912926791,-0.0015290615889054088,5.007755536527853e-4,-0.010699907793961128,-0.02103803108042361,0.07004203871596905,10,no,4.599686981664841,-0.7249660172179506,95.55167902311382,96.24945486262538,0.008287399986340968,0.013294092004549979,-0.08930779455293225,0.013679174645765957,0.017587687173345745,-0.08571562770967289,-0.011120432838374633,0.08053692508738337,6,yes,7.203538993929645,-3.1675217488289062,94.65765372873965,97.75403401657218,-0.005936486670530719,-0.005961589889956043,-0.019853600445130848,-0.0042933644257024395,-0.004315960549883396,-0.008137411995748911,-0.022259980214860073,0.08358508426391166,4,no,-2.0754009488143232,1.6318181818181792,97.50981247274314,95.94417793283908,-0.0030217402656397274,-0.004190177553332647,-0.03906139831229749,-0.0010169311649034507,-0.002319722383832601,-0.029599388053685227,-0.017500337168940283,0.08678139604146601,4,no,-4.320268214659387,1.8849025678382845,97.59267335368513,95.78717836894897
wregular,-0.005348887373438152,-0.009005327913696543,-0.01965053343249612,-0.00487589959388636,-0.008416730460510724,-0.014487488869503018,-0.021173215522672498,0.07448558767964925,6,yes,0.09972908059032848,0.4753865292340472,98.62625381596162,98.15961622328827,-0.009243875419857897,-0.012002735127076836,8.572390781153016e-4,-0.00919315616059331,-0.011492064414162353,0.016236393430740348,-0.04801330586742897,0.07741271509269324,2,no,-32.83288134366145,-1.1951667980036838,98.42564326210204,99.61622328826864,3.589470603655581e-4,-0.003983199039811161,-0.030366010416695066,9.181142354346417e-4,-0.0034002057505512356,-0.027466244776825688,-0.017396170221150448,0.07434000593838373,7,yes,5.446337529976194,0.13264358668257809,98.76580898386393,98.63497601395552,-0.02451599200453232,-0.025972101410823886,0.07091825801036367,-0.024372398252903674,-0.025468726341467476,0.08586973987563917,-0.03230939957980311,0.09156830771586237,2,no,-29.396746858821082,0.15167060712853322,97.91103358046229,97.76275621456607
random,-0.001299248224220409,-0.0011153069027309975,2.290009431457074e-4,-0.0011177692604913275,-8.917889193404416e-4,0.0014001747455496538,-0.01697914208815096,0.07598050933997864,11,yes,12.031015783483982,-0.06128255635806444,99.56825119930222,99.62930658525949,0.020912627812108286,0.021295828349521803,-0.11075509722039856,0.020937631539937926,0.021335029484880794,-0.11028654839754704,-0.002219193743688702,0.11004780981363772,5,no,-4.134296054965657,9893.458351504578,99.93458351504579,1,-9.276840431156758e-4,-2.2668768416778118e-4,0.006144929630403584,-6.763152416520424e-4,1.192274820174255e-4,0.00811551399977295,-0.017258325466968913,0.08705336085983088,7,yes,1.2330127637113946,-0.5862536640854052,99.09725250763192,99.68163977322286,0.003271103647645171,5.65572817079335e-4,-0.027055915586263968,0.0036617329714629804,8.81319893431376e-4,-0.027015332576731943,-0.01731870706676787,0.07704402251404929,6,yes,11.1737052286461,0.1533204836166021,99.70780636720453,99.55516790231138
wclust,-0.0264198055768608,-0.021568887196805525,0.10525307954180751,-0.023539605146931625,-0.019238646021902978,0.11444303666502942,-0.022894496466202702,0.0831775335311778,3,yes,-1.975595620894329,4.040737422792207,96.23201046663759,92.49454862625382,0.03211121186620998,0.028513000114318968,-0.10157183968038308,0.032354000628398785,0.029008219727582704,-0.0934239222731541,-0.008110331958221598,0.10405003899835175,3,no,-8.605299928256061,-0.4809813785191141,98.35586567815089,98.83122546881815,-0.001880954478957364,-0.006337966915590285,0.057834807022882684,0.0030946089412572514,-0.0027159340078654753,0.06642149865157487,-0.015433900339818535,0.07882039483659452,5,no,-0.1821644727381057,-2.2961531382293434,92.59921500218054,94.77540340165721,-0.0019622097311306763,-0.005761835542319682,0.04106119675605713,-0.0011039923962736786,-0.004796520968898807,0.06413081419855271,-0.02018869214362591,0.08560758432955351,4,no,-4.255373503831179,0.557672646156712,94.36546009594417,93.8421282163105
sclust,-0.042455030646381314,-0.030829356037666275,0.1487558799033727,-0.02669749450062553,-0.018431851339580904,0.12166990957718848,-0.024111931820664484,0.06782221343296639,7,yes,-8.83395529993855,-12.995935746080894,78.4212821631051,90.13519406890536,0.04251737003736833,0.0344147647040311,-0.08246304780088953,0.044581110217180614,0.03633785518864964,-0.08110049421901366,0.00874360997178053,0.12490602503078682,3,no,15.122995216236276,-0.9009804787563089,97.85433929350195,98.7440034888792,0.009694694280086569,0.006639744489433913,0.06744355906009636,0.017927332622987763,0.01272571426028643,0.053142368717566835,-0.008905465207932894,0.12050950430815649,5,yes,1.8000585648448988,-2.2107557492994165,95.87440034888792,98.0418665503707,0.019873223733702997,0.009245943001639487,-0.017602184611968608,0.024651265291873586,0.013024983054968117,-0.01305541854252934,0.00443568941113813,0.10935002147325941,6,no,-4.76520927463396,-2.9157236053787785,95.40340165721763,98.26864369821196
