"","dsample","diff_CV_AOI_RMSE_rand","diff_CV_AOI_MAE_rand","diff_CV_AOI_R2_rand","diff_CV_AOA_RMSE_rand","diff_CV_AOA_MAE_rand","diff_CV_AOA_R2_rand","diff_calAOA_RMSE_rand","RMSE_caoa_rand","n_predictors_rand","xy_as_predictor_rand","improvement_rmse_rand","improvement_aoa_rand","in_AOA_rand","in_AOA_wo_rand","diff_CV_AOI_RMSE_spat","diff_CV_AOI_MAE_spat","diff_CV_AOI_R2_spat","diff_CV_AOA_RMSE_spat","diff_CV_AOA_MAE_spat","diff_CV_AOA_R2_spat","diff_calAOA_RMSE_spat","RMSE_caoa_spat","n_predictors_spat","xy_as_predictor_spat","improvement_rmse_spat","improvement_aoa_spat","in_AOA_spat","in_AOA_wo_spat","diff_CV_AOI_RMSE_kndm","diff_CV_AOI_MAE_kndm","diff_CV_AOI_R2_kndm","diff_CV_AOA_RMSE_kndm","diff_CV_AOA_MAE_kndm","diff_CV_AOA_R2_kndm","diff_calAOA_RMSE_kndm","RMSE_caoa_kndm","n_predictors_kndm","xy_as_predictor_kndm","improvement_rmse_kndm","improvement_aoa_kndm","in_AOA_kndm","in_AOA_wo_kndm","diff_CV_AOI_RMSE_nndm","diff_CV_AOI_MAE_nndm","diff_CV_AOI_R2_nndm","diff_CV_AOA_RMSE_nndm","diff_CV_AOA_MAE_nndm","diff_CV_AOA_R2_nndm","diff_calAOA_RMSE_nndm","RMSE_caoa_nndm","n_predictors_nndm","xy_as_predictor_nndm","improvement_rmse_nndm","improvement_aoa_nndm","in_AOA_nndm","in_AOA_wo_nndm"
"11","sregular",0.0113585724586184,0.00732633651240011,-0.0368336584024516,0.0114856113431132,0.00752918958290963,-0.0354698623284534,-0.0100200752998946,0.0724824149708371,7,"yes",10.7520678899327,0.00884486113569035,98.6218927169647,98.6131705189708,0.00196206726139778,0.00713261859295512,-0.0147671043431946,0.0019662429864616,0.00715617031605054,-0.0142806811630541,-0.019061307740342,0.0883623443491271,4,"no",-19.8895417584796,-0.0174550532379182,99.9215002180549,99.9389446140427,-0.0028436329002034,0.00335457423614911,0.0145476341135107,-0.00272233946721107,0.00349879042864938,0.0153690721634782,-0.0213406537364968,0.0769870088226248,6,"no",-4.61477322270657,0.320217572487605,99.7383340601832,99.419973833406,0.00571914717472666,0.00152639596658423,-0.0280641097813383,0.00630326935756689,0.00211979296678882,-0.0276720446171904,-0.0148819252501469,0.0752915555356956,7,"yes",2.39925108194632,-0.664144968332165,98.4954208460532,99.1539467945922
"12","wregular",-0.0224187526758962,-0.0183215323242739,0.0445207922917827,-0.0190496127208631,-0.0155747861062243,0.0510208303633569,-0.0282501767772437,0.0808318504214357,6,"yes",-13.6627040733972,3.52749301025162,96.8905364151766,93.5891844744876,0.00576267834994371,0.00679227784908655,-0.0666234286145254,0.00816338148978692,0.00914270967444891,-0.057029643757879,-0.0209893088129283,0.0842452392282864,6,"no",-5.72117748025673,-1.87890521869224,97.2481465329263,99.1103358046228,-0.0165879363213279,-0.0113611047637309,0.0224771124452239,-0.010178630659489,-0.00701589972935689,0.018232451346973,-0.0223140223258082,0.0813902388877793,4,"yes",-7.23620204862958,1.14879649890591,96.7640645442652,95.6650675970345,-0.0281273044334326,-0.0231413774276542,0.0664229122874488,-0.0215564862947201,-0.0180646660444605,0.0676547095230382,-0.027818668592658,0.082991094802011,4,"yes",-14.3008317118574,-0.374220374220368,94.0427387701701,94.3959877889228
"13","random",-0.00148140406766289,-0.00917653584589376,-0.0175246382828601,0.00221791530486831,-0.00600596585408023,-0.0041198684891498,-0.0102969065202086,0.0789245393556701,12,"yes",0.913617831765467,0.652771949456792,94.1430440470999,93.5324901875273,0.0115694815157211,0.00430276040171784,-0.0779956914457463,0.0136926072294558,0.00598382851129606,-0.075372544694935,-0.0191942917840764,0.0932937783480121,5,"no",-20.9843319213756,0.150555727759819,98.6349760139555,98.4866986480593,0.00112984378313004,-0.00339373938831988,-0.0397422041502146,0.00482401474039577,-0.000387932547211201,-0.0344170644815593,-0.00943942038098902,0.0818558958418251,6,"no",-1.2993930971367,2.09764418422387,96.5808983863934,94.5965983427824,-0.000751104491266738,-0.00949252134374333,-0.0306145607569684,0.0049872732558021,-0.00472680771978229,-0.0149554394744923,-0.0166051224591051,0.0723031286777894,12,"yes",5.35139369444459,-2.11533155522856,92.8303532490187,94.8364587876145
"14","wclust",-0.0678495830902013,-0.0394190157886396,0.240516914825715,-0.0241902908426133,-0.013164808201267,0.139079570710573,-0.0271315727890597,0.0693777286445597,6,"yes",-2.0147555139794,1.74259920218349,84.5355429568251,83.0876580898386,-0.0180787550087791,0.00553910297981275,0.0739910280729658,-0.00368035845974823,0.0154347713102012,0.0634590526992478,-0.0234599160314743,0.106403064228708,3,"no",-2.03048361158783,-4.62389671979976,94.7230702136938,99.3153074574793,-0.0383140670447234,-0.0199059859096819,0.15161038905698,-0.0294839919864138,-0.0130389803531875,0.153207425240124,-0.0430260107315256,0.0928959645061281,3,"no",-3.93654434360232,2.4452058009105,95.1940689053641,92.9219363279546,-0.062765134041658,-0.0378380882664257,0.295078487174536,-0.0594423656985212,-0.0343736470374332,0.309839689338333,-0.0781010389919839,0.0852051148679845,2,"no",-14.6263079892644,4.26163119231495,96.5590928914086,92.6122982991714
"15","sclust",-0.0626731251121863,-0.0473222051400868,0.197804692188218,-0.0340813225040177,-0.0253212681068416,0.14565555222083,-0.0418550481238367,0.048223158752438,3,"no",9.97947443973784,51.6212564737672,58.7309201918884,38.7352812908853,-0.0291822891546445,-0.0242781070837749,0.103508126647084,-0.0258778287331133,-0.0217434755559634,0.10527124899453,-0.0514299867192353,0.081294541082,4,"no",-3.097076103995,5.75972895393159,98.015699956389,92.6777147841256,-0.00732806694764503,0.000172883516474515,0.0377040856114903,-0.00424180770645394,0.00231450274002203,0.0383761180180644,-0.0311309352855765,0.0934995371009065,3,"no",4.43800049598116,6.05022295235861,98.5346707370257,92.9132141299607,-0.0306763647799847,-0.0221262650645342,0.133571565821866,-0.028200638994783,-0.0202851258998024,0.135584601825927,-0.0484131159829709,0.0830449506737695,3,"no",-3.23815148272144,2.35757274084799,98.6480593109464,96.3759267335369
"16","sregular",-0.00351449790527089,-0.00111910318785281,0.00205551486505151,-0.00097148139103459,0.000968020045660323,0.00449789793409017,-0.0195391817573409,0.0725773394006513,7,"no",-0.749034444484666,0.192316293215263,97.6973397296119,97.5098124727431,0.0140247215011937,0.0127501096997059,-0.0501399019186904,0.0146197029040713,0.0132703370008585,-0.0495024665125795,-0.00650786914362515,0.0849864468696938,6,"no",-4.83912337519806,-0.384733091417816,99.3676406454427,99.751417357174,-0.00255375194198018,2.57725921718049e-05,0.0065427633162618,-0.00107830750142686,0.0013433241481707,0.00856580918138339,-0.0154663422318509,0.0713761244161542,6,"no",0.23073263344442,0.783313190994134,98.1945050152638,97.4313126907981,0.000776715234074965,0.000466430622451303,-0.00705126707062964,0.00240829453252332,0.0018170283467971,-0.00518492149281213,-0.0128247853569971,0.0695954512635223,8,"yes",4.2609073422637,0.481777222643532,98.2337549062364,97.7627562145661
"17","wregular",-0.00562671646020486,-0.00374531431439712,0.0193256303895787,-0.00181824710661689,-0.000853477897179308,0.0169329772180133,-0.00504977612066464,0.07992046029407,6,"yes",7.73731611957064,4.04107635257203,95.4382904491932,91.7313563017881,0.020266772429619,0.0162372314839522,-0.0661375522542778,0.0223434598201828,0.0177459130281707,-0.0688974061192995,0.00627984579436297,0.097146588991564,7,"yes",-2.6672828043417,-0.274725274725273,98.1508940252944,98.4212821631051,-0.00666125604462404,-0.00431839502632202,0.022488666190548,-0.00266746266736156,-0.00108519493805782,0.0224034019247363,-0.0117174874679278,0.0708492807062695,7,"yes",8.16816914839913,1.2196831627646,94.461404273877,93.3231574356738,-0.00887166823194764,-0.00605797445737087,0.0318096352209639,-0.00469606966154351,-0.00285358766933605,0.0308672810973207,-0.0149492270900634,0.0726308534448554,6,"yes",-1.28781759491965,-0.0650920587688294,93.7374618403838,93.798517226341
"18","random",-0.00527950572855898,-0.00552904711754376,0.0175316974892095,-0.0047210052569923,-0.00488215048451754,0.0215635854306138,-0.0195971793539408,0.0715438814173148,8,"yes",2.43012523071605,-3.17292902658756,96.0880941997383,99.2368076755342,0.0137392421605647,0.0176448524337982,-0.0419537008115345,0.0137792569086886,0.0176779576416062,-0.0420423562406442,-0.0084445884933393,0.0990175120981836,3,"yes",-16.3192329857683,0.0305450102543888,99.9738334060183,99.9433057130397,-0.0112545174061874,-0.00548404078815919,0.0376149219196211,-0.0106874370637079,-0.00500629296571246,0.0403828493847689,-0.0193059700623052,0.0730232769190025,6,"yes",-0.557433605894058,-2.53869426053405,96.938508504143,99.4635848233755,-0.0122638514944947,-0.00844219801858127,0.0539187645006861,-0.00869668189971233,-0.00590947335072739,0.0474441176919714,-0.0274493894860876,0.0750271305933354,4,"yes",-13.1357171071186,-2.03873598369012,96.3933711295246,98.3994766681204
"19","wclust",-0.0316901800642754,-0.0224715679744024,0.144742819567199,-0.0122177487171011,-0.0115664940139101,0.0851941658684087,-0.00550743928419606,0.0982709716590263,4,"yes",-24.0592388677813,-3.96578538102643,91.5612734409071,95.3423462712604,-0.0167858517848203,-0.00436702084908984,0.107682145975797,-0.00885398342233493,9.36209187530485e-05,0.0855814503407153,-0.0146619473130205,0.123069443914739,2,"yes",-42.6897886986513,0.430689992007818,98.6436982119494,98.2206716092455,-0.0139410130885525,-0.00844928507896729,0.0694975188284592,0.00607231120042968,0.0025489572930262,0.0193477733579409,-0.0127001213845918,0.0759559826550195,4,"yes",-9.7981701203748,-3.60605236930324,92.7954644570432,96.2668992586132,-0.0305670138643052,-0.0189948079949323,0.153611646727455,-0.00816980833002752,-0.00852034968947052,0.0731690545959447,-0.0223632497851735,0.0852186664075919,3,"yes",-36.6755559710184,-1.81064768939735,95.0719581334496,96.8251199302224
"20","sclust",-0.147383022214141,-0.0976217102952089,0.56044728071322,-0.052256888555266,-0.0373983133384864,0.206905854447383,-0.0511088660591241,0.053208644871436,3,"yes",5.24770501520578,-6.11856085586576,55.8744003488879,59.5159180113389,-0.10475865882869,-0.0563069273050942,0.440743160384868,-0.00679917634476107,0.00220740464848219,0.0974508390096804,-0.0386602515134359,0.0778767029626749,6,"no",-17.082643314207,-2.76909815752614,78.7091146969036,80.9507195813345,-0.109389880929181,-0.0620371374741605,0.4375066271841,-0.0448055270871247,-0.0236320692426999,0.222410407883938,-0.0587843822207398,0.0887024725192331,8,"no",-11.9702333593872,18.1886617638543,89.010030527693,75.3118185782817,-0.082924155177629,-0.0596026983458564,0.289352476260118,-0.0390848521195674,-0.0287658082576863,0.219426124778674,-0.0599664296602002,0.0848459710613487,4,"yes",10.9496268349651,5.81228631300319,83.6807675534235,79.0841692106411
