dsample,RMSE_rand,MAE_rand,R2_rand,RMSE_surf,MAE_surf,R2_surf,RMSE_spatial,MAE_spatial,R2_spatial,RMSE_kndm,MAE_kndm,R2_kndm,RMSE_nndm,MAE_nndm,R2_nndm,time_kndm_mod,time_nndm_mod,time_kndm_alg,time_nndm_alg
wregular,0.09459573221506272,0.06909247355663095,0.8512667641498425,0.09429866179834152,0.07332270159884349,0.8821280205789619,0.12331486964233448,0.09245944937247852,0.6910281056430259,0.09995247388277101,0.07317277084906532,0.8326787772185068,0.10086889763871351,0.07433902324523356,0.8254222074015677,0.14199999999982538,0.4980000000000473,0.30599999999981264,0.04600000000004911
random,0.10434888451680575,0.07519272051362941,0.8022665654080303,0.09201205858672377,0.07186294358223656,0.8986288677307039,0.13785229340052613,0.10397157036889346,0.6250058267964628,0.10556495021219496,0.07621552405501406,0.8014901159992253,0.10089952172084059,0.0739739748739203,0.8306695857156853,0.18200000000001637,0.5039999999999054,0.007000000000061846,0.05999999999994543
wclust,0.07839448821929626,0.06151664739045471,0.90737114295636,0.11145506058820293,0.07907476695091316,0.777571356112632,0.18022561943919124,0.1450660628238134,0.6082336994391815,0.11260017447371169,0.09575224084277173,0.8254316900540202,0.09547562228603586,0.07654026455428296,0.8582893083992537,0.1850000000001728,0.48499999999989996,0.3430000000000746,0.0929999999998472
sclust,0.06458488801833992,0.0405144224507734,0.8473098020632339,0.1567198523456026,0.11893361698980165,0.5655901290169865,0.0876944010462842,0.07081125584894168,0.7818262179509601,0.09444389231066086,0.06573937639122208,0.6611900998299922,0.09730391503560137,0.07009937835176785,0.6523892254211148,0.17799999999988358,0.5380000000000109,0.2719999999999345,0.21000000000003638
sregular,0.09879906750128041,0.07658162299528097,0.8114997456741444,0.09199534592383557,0.06979600090984459,0.8837745738784802,0.13195986094723164,0.10805443567256755,0.6613870811737296,0.10653686206671706,0.08037597109830008,0.7797870667289359,0.09897036933381764,0.07695148604062074,0.8124793460333009,0.14699999999993452,0.4980000000000473,0.005999999999858119,0.041999999999916326
wregular,0.09819892819006934,0.0669335797319375,0.807545927565642,0.09071304353350919,0.06900898664508692,0.8835111015817303,0.13651195878716224,0.10286787491083456,0.6070596425373601,0.10552203128973914,0.07405969635678457,0.7753024165415658,0.09738976582737448,0.06810073201638646,0.811329935919369,0.16200000000003456,0.5109999999999673,0.007000000000061846,0.05899999999996908
random,0.09392742887832527,0.07213487140589706,0.8895485553149342,0.08678641907629729,0.06761824132753753,0.8776857468484034,0.1443601768343589,0.11208549252111775,0.7370800980755738,0.10119536458644329,0.07682257757911147,0.8733113502008784,0.09363326261713496,0.0740431074042463,0.8914107624358524,0.14799999999991087,0.5389999999999873,0.005999999999858119,0.04600000000004911
wclust,0.08517457272734193,0.06413177228464435,0.8844213167074045,0.10499077782265281,0.08192268229895021,0.8422377653660162,0.13127405213622226,0.100838696607997,0.693384752429139,0.12070272063134661,0.08855055367638358,0.7665547529518338,0.1114738243064023,0.08333650964827896,0.7782081003268159,0.14599999999995816,0.5380000000000109,0.2680000000000291,0.07699999999999818
sclust,0.04897901379835427,0.03537023646456499,0.9344663162119652,0.19669603999591848,0.14241973555460993,0.3674635062588672,0.07746201407548699,0.06148938367523256,0.8495743962618125,0.08177778559852242,0.06222326717428865,0.809332200879299,0.11645747319631927,0.07849998405128718,0.6213211720627599,0.14899999999988722,0.4249999999999545,0.28599999999983083,0.37799999999992906
sregular,0.0942995711515741,0.07075329897220045,0.8462631622742713,0.0941565566352164,0.07121775107295594,0.8911260675876325,0.11823800165708619,0.0922174700553548,0.7442695692260247,0.10567646499889582,0.07855389142731249,0.8141645952477291,0.09542039457798435,0.0706023022196851,0.8407291514396106,0.15099999999983993,0.5059999999998581,0.007999999999810825,0.05600000000004002
wregular,0.09251458999458814,0.0656693790055221,0.8469718494456946,0.0945039174066923,0.07221615216425882,0.8530751463788043,0.15181406027631095,0.11579883775511585,0.5910378448730841,0.09163638222644441,0.06633342205917193,0.8534141923817347,0.09281838781747401,0.06688239777443045,0.8450916695550008,0.16999999999984539,0.5940000000000509,0.005999999999858119,0.055000000000063665
random,0.0963136544562632,0.06812173479412992,0.7818923696094922,0.10635278183975704,0.08072729798104351,0.8397033824013754,0.14141521970233922,0.11091917848157386,0.4681422065451707,0.1019269582877448,0.07335556643954787,0.7661304632878653,0.09175050864308798,0.06639430079829568,0.8142526842342098,0.14799999999991087,0.5209999999999582,0.3350000000000364,0.047000000000025466
wclust,0.08377790008431425,0.06275414340903362,0.853082924363859,0.11323866051522134,0.08635836386803822,0.8005434834724917,0.17345585948024564,0.13874523294271282,0.3198123145412578,0.12495465493848507,0.09231071738851566,0.6478752023110393,0.10356622472447313,0.07679341070034852,0.7622891515946283,0.14400000000000546,0.47299999999995634,0.30999999999994543,0.07899999999995089
sclust,0.08133729943284218,0.05999419792247627,0.9113496458200822,0.10165839932611423,0.07591545536139425,0.8153589720088672,0.1625053950626747,0.1367907713625844,0.6270035149135909,0.16064593006325667,0.12177143115368361,0.6081642377315134,0.1350807953406743,0.10100348548948763,0.7336235357813934,0.1449999999999818,0.47700000000008913,0.36799999999993815,0.19200000000000728
sregular,0.077824826747568,0.06267264182601286,0.890199649180043,0.1093764374868745,0.0763660120604616,0.7928759055074613,0.1034045378636237,0.08177604173937132,0.7868679702153973,0.08073234673933952,0.06473393579363432,0.8796514399224945,0.07845570444319172,0.06195457640522016,0.8871989801796378,0.18200000000001637,0.5090000000000146,0.007000000000061846,0.052999999999883585
wregular,0.09746987077710274,0.07439114102381768,0.8438427442838168,0.09488984728126436,0.06733842310353126,0.8518799261730629,0.14288661399884964,0.11425496017831761,0.6268743137172595,0.1097193868999903,0.08310431590731497,0.7951468594383599,0.09922565833989277,0.07429505546787213,0.8351392981562253,0.1590000000001055,0.4900000000000091,0.0060000000000854925,0.041999999999916326
random,0.08619277356589862,0.06768881714592999,0.8975660506877133,0.09232639241396035,0.0711346587699296,0.8777306453675681,0.15072168066890487,0.11374214299271196,0.6270970401548047,0.09244242609026272,0.07314562338614836,0.8792232052252443,0.09696530720862152,0.07519007381811117,0.8674717386449767,0.16899999999986903,0.4859999999998763,0.008000000000038199,0.06300000000010186
