dsample,time_kndm_mod,time_nndm_mod,time_kndm_alg,time_nndm_alg,n_tpoints
sregular,3.0070000000005166,0.3829999999998108,0.006999999999607098,0.057999999999992724,100
sregular,0.5700000000006185,12.594999999999345,0.007999999999810825,0.16199999999935244,550
sregular,0.9020000000000437,78.91899999999987,0.009999999999308784,0.4219999999995707,1000
wregular,0.10499999999956344,0.38000000000010914,0.007000000000516593,0.042000000000371074,100
sregular,3.0070000000005166,0.3829999999998108,0.006999999999607098,0.057999999999992724,100
sregular,0.5700000000006185,12.594999999999345,0.007999999999810825,0.16199999999935244,550
sregular,0.9020000000000437,78.91899999999987,0.009999999999308784,0.4219999999995707,1000
wregular,0.6089999999994689,18.98199999999997,0.009000000000014552,0.2830000000003565,550
sregular,3.0070000000005166,0.3829999999998108,0.006999999999607098,0.057999999999992724,100
sregular,0.5700000000006185,12.594999999999345,0.007999999999810825,0.16199999999935244,550
sregular,0.9020000000000437,78.91899999999987,0.009999999999308784,0.4219999999995707,1000
wregular,0.956000000000131,80.14900000000034,0.012999999999919964,0.5200000000004366,1000
random,0.10400000000026921,0.5309999999999491,0.0059999999994033715,0.047999999999774445,100
sregular,3.0070000000005166,0.3829999999998108,0.006999999999607098,0.057999999999992724,100
sregular,0.5700000000006185,12.594999999999345,0.007999999999810825,0.16199999999935244,550
sregular,0.9020000000000437,78.91899999999987,0.009999999999308784,0.4219999999995707,1000
wregular,0.10499999999956344,0.38000000000010914,0.007000000000516593,0.042000000000371074,100
sregular,3.0070000000005166,0.3829999999998108,0.006999999999607098,0.057999999999992724,100
sregular,0.5700000000006185,12.594999999999345,0.007999999999810825,0.16199999999935244,550
sregular,0.9020000000000437,78.91899999999987,0.009999999999308784,0.4219999999995707,1000
wregular,0.6089999999994689,18.98199999999997,0.009000000000014552,0.2830000000003565,550
sregular,3.0070000000005166,0.3829999999998108,0.006999999999607098,0.057999999999992724,100
sregular,0.5700000000006185,12.594999999999345,0.007999999999810825,0.16199999999935244,550
sregular,0.9020000000000437,78.91899999999987,0.009999999999308784,0.4219999999995707,1000
wregular,0.956000000000131,80.14900000000034,0.012999999999919964,0.5200000000004366,1000
random,0.4530000000004293,19.630999999999403,0.011999999999716238,0.2820000000001528,550
sregular,3.0070000000005166,0.3829999999998108,0.006999999999607098,0.057999999999992724,100
sregular,0.5700000000006185,12.594999999999345,0.007999999999810825,0.16199999999935244,550
sregular,0.9020000000000437,78.91899999999987,0.009999999999308784,0.4219999999995707,1000
wregular,0.10499999999956344,0.38000000000010914,0.007000000000516593,0.042000000000371074,100
sregular,3.0070000000005166,0.3829999999998108,0.006999999999607098,0.057999999999992724,100
sregular,0.5700000000006185,12.594999999999345,0.007999999999810825,0.16199999999935244,550
sregular,0.9020000000000437,78.91899999999987,0.009999999999308784,0.4219999999995707,1000
wregular,0.6089999999994689,18.98199999999997,0.009000000000014552,0.2830000000003565,550
sregular,3.0070000000005166,0.3829999999998108,0.006999999999607098,0.057999999999992724,100
sregular,0.5700000000006185,12.594999999999345,0.007999999999810825,0.16199999999935244,550
sregular,0.9020000000000437,78.91899999999987,0.009999999999308784,0.4219999999995707,1000
wregular,0.956000000000131,80.14900000000034,0.012999999999919964,0.5200000000004366,1000
random,1.2400000000006912,76.96500000000015,0.009999999999308784,1.256999999999607,1000
wclust,0.10800000000017462,0.3899999999994179,0.4290000000000873,0.07799999999951979,100
sregular,3.0070000000005166,0.3829999999998108,0.006999999999607098,0.057999999999992724,100
sregular,0.5700000000006185,12.594999999999345,0.007999999999810825,0.16199999999935244,550
sregular,0.9020000000000437,78.91899999999987,0.009999999999308784,0.4219999999995707,1000
wregular,0.10499999999956344,0.38000000000010914,0.007000000000516593,0.042000000000371074,100
sregular,3.0070000000005166,0.3829999999998108,0.006999999999607098,0.057999999999992724,100
sregular,0.5700000000006185,12.594999999999345,0.007999999999810825,0.16199999999935244,550
sregular,0.9020000000000437,78.91899999999987,0.009999999999308784,0.4219999999995707,1000
wregular,0.6089999999994689,18.98199999999997,0.009000000000014552,0.2830000000003565,550
sregular,3.0070000000005166,0.3829999999998108,0.006999999999607098,0.057999999999992724,100
sregular,0.5700000000006185,12.594999999999345,0.007999999999810825,0.16199999999935244,550
sregular,0.9020000000000437,78.91899999999987,0.009999999999308784,0.4219999999995707,1000
wregular,0.956000000000131,80.14900000000034,0.012999999999919964,0.5200000000004366,1000
random,0.10400000000026921,0.5309999999999491,0.0059999999994033715,0.047999999999774445,100
sregular,3.0070000000005166,0.3829999999998108,0.006999999999607098,0.057999999999992724,100
sregular,0.5700000000006185,12.594999999999345,0.007999999999810825,0.16199999999935244,550
sregular,0.9020000000000437,78.91899999999987,0.009999999999308784,0.4219999999995707,1000
wregular,0.10499999999956344,0.38000000000010914,0.007000000000516593,0.042000000000371074,100
sregular,3.0070000000005166,0.3829999999998108,0.006999999999607098,0.057999999999992724,100
sregular,0.5700000000006185,12.594999999999345,0.007999999999810825,0.16199999999935244,550
sregular,0.9020000000000437,78.91899999999987,0.009999999999308784,0.4219999999995707,1000
wregular,0.6089999999994689,18.98199999999997,0.009000000000014552,0.2830000000003565,550
sregular,3.0070000000005166,0.3829999999998108,0.006999999999607098,0.057999999999992724,100
sregular,0.5700000000006185,12.594999999999345,0.007999999999810825,0.16199999999935244,550
sregular,0.9020000000000437,78.91899999999987,0.009999999999308784,0.4219999999995707,1000
wregular,0.956000000000131,80.14900000000034,0.012999999999919964,0.5200000000004366,1000
random,0.4530000000004293,19.630999999999403,0.011999999999716238,0.2820000000001528,550
