dsample,diff_CV_AOI_RMSE_rand,diff_CV_AOI_MAE_rand,diff_CV_AOI_R2_rand,diff_CV_AOA_RMSE_rand,diff_CV_AOA_MAE_rand,diff_CV_AOA_R2_rand,diff_calAOA_RMSE_rand,RMSE_caoa_rand,n_predictors_rand,xy_as_predictor_rand,improvement_rmse_rand,improvement_aoa_rand,in_AOA_rand,in_AOA_wo_rand,diff_CV_AOI_RMSE_spat,diff_CV_AOI_MAE_spat,diff_CV_AOI_R2_spat,diff_CV_AOA_RMSE_spat,diff_CV_AOA_MAE_spat,diff_CV_AOA_R2_spat,diff_calAOA_RMSE_spat,RMSE_caoa_spat,n_predictors_spat,xy_as_predictor_spat,improvement_rmse_spat,improvement_aoa_spat,in_AOA_spat,in_AOA_wo_spat,diff_CV_AOI_RMSE_kndm,diff_CV_AOI_MAE_kndm,diff_CV_AOI_R2_kndm,diff_CV_AOA_RMSE_kndm,diff_CV_AOA_MAE_kndm,diff_CV_AOA_R2_kndm,diff_calAOA_RMSE_kndm,RMSE_caoa_kndm,n_predictors_kndm,xy_as_predictor_kndm,improvement_rmse_kndm,improvement_aoa_kndm,in_AOA_kndm,in_AOA_wo_kndm,diff_CV_AOI_RMSE_nndm,diff_CV_AOI_MAE_nndm,diff_CV_AOI_R2_nndm,diff_CV_AOA_RMSE_nndm,diff_CV_AOA_MAE_nndm,diff_CV_AOA_R2_nndm,diff_calAOA_RMSE_nndm,RMSE_caoa_nndm,n_predictors_nndm,xy_as_predictor_nndm,improvement_rmse_nndm,improvement_aoa_nndm,in_AOA_nndm,in_AOA_wo_nndm
sregular,9.685509134961384e-4,0.0015868685668270766,-0.011483231539787808,0.00586493891194359,0.005199767945380726,-0.007151445717523797,-0.01107341405055863,0.07411808551162218,6,yes,-8.598323491280189,-0.891570605187319,95.98778892280855,96.8512865242041,0.011120404548730534,0.011384355269735955,-0.03366734758851042,0.012450854367644731,0.012450116210538403,-0.030848623608451087,-0.009647957024884732,0.08211046698549745,6,yes,-10.06906481787248,-0.41358676522350146,98.70911469690363,99.11905800261665,0.0038566083551574426,0.004309885307692482,-0.023895929557668394,0.007860213209872402,0.007086652478277125,-0.023592591786391393,-0.009339494112723626,0.0721892576243989,11,yes,2.7140726676609903,-0.6579824834392962,97.448757086785875,98.09419973833407,0.0018976335941663092,-6.919226297617542e-4,-0.02125512613934477,0.005881209221403394,0.0022791816044483437,-0.019412336212739745,-0.012387250029813196,0.07029325510286359,9,no,0.7170035546639506,0.17137960582691283,96.86436982119494,96.69864805931094
wregular,0.0037549291658027784,0.0015334729764612115,-0.027658187046591842,0.005304739505929024,0.0028965835098628268,-0.02593644297890596,-0.011462293495474049,0.07212416600623336,8,yes,10.123087460998244,-0.12906671413947013,97.86306149149586,97.98953336240731,0.0023102370978471676,0.009477198630421513,-0.024372379037553626,0.0023853982785489447,0.009683018616898478,-0.020657242344152893,-0.016987434051577918,0.10085643757621382,3,no,-22.181580255394866,-0.2582735072666619,99.36764064544266,99.62494548626253,0.004481356384528581,9.66528067152056e-4,-0.03145442385601882,0.006112712735833206,0.002263896148241712,-0.030207560002270872,-0.011931559598802585,0.07723702114144397,6,yes,-2.329420783368955,0.11136353512405653,98.01133885739206,97.90231138246838,-0.002444927836032243,-0.0016167412071525222,-0.008587349747876893,-0.0020041518096572536,-0.001038198284610714,-0.004442452025799626,-0.022204356095224198,0.07030766290471815,8,yes,-3.424747656636125,1.3451105232479932,98.57392062799826,97.2655909289141
random,-0.0033844258503944874,-9.301196056302058e-4,0.023276481459553522,0.0015169889958921434,0.00326036111680917,0.025423806920333192,-0.008369569625962761,0.0713819134590089,9,yes,3.909517439993393,-4.132571428571433,91.45660706498037,95.39904055822068,0.028589683102537622,0.029682750574304348,-0.09550998683582157,0.028705733941257347,0.029833968797062252,-0.09395947333779942,-0.001376498595406797,0.09642663986863667,4,no,-12.613227852917333,0.16671053786083234,99.57261229829916,99.40689053641518,0.0017582741423602388,0.0025824461268471183,0.007332173316889068,0.0034887922760230283,0.004467065153532901,0.011028257402508679,-0.004598560249471029,0.0803031581363868,7,yes,6.920371676708072,-2.617941386704789,95.06323593545574,97.61883994766681,-0.004925927583938949,-0.0021676909400127897,0.024532668266793345,-0.0020202175244490583,3.0250467052543584e-4,0.023976007283325274,-0.013447071335130525,0.07270714075710305,7,no,-0.7455753239913606,6.156243911942342,95.05451373746185,89.54208460532054
wclust,-0.04770187090408652,-0.03577628281428141,0.12796056856642513,-0.021586711755084587,-0.018102682643577298,0.08630440335930134,-0.020980398062428907,0.09160490823867397,4,no,-7.601606550737429,1.8592030551228533,88.40383776711731,86.79023113824684,-0.012188798955978283,-0.004175644740047502,-0.09700657874701324,0.002862818746902293,0.006429642666016797,-0.1075309429526673,-0.020604361195152604,0.10106942507753872,4,no,-8.875024314014366,-3.8628530504453673,93.66768425643262,97.43131269079808,-0.039624511706494586,-0.023004729705480786,0.0602196051337881,-0.015559399696794443,-0.007429803132616319,0.039792241566121156,-0.015855409847438384,0.08546147755052914,9,yes,-4.788793422104017,-1.2910967122630193,89.69036197121675,90.86349760139555,-0.0492612103039564,-0.03433770890321275,0.12563173924359694,-0.01961329233720492,-0.014889719587704228,0.05053075796590489,-0.013747434829789379,0.10558058294442826,3,no,-19.657953232239965,-0.6781279847182451,90.7021369385085,91.32141299607501
sclust,-0.05594747248400861,-0.04896189499020671,0.2577000999197122,-0.021854742368980676,-0.020741501428693472,0.10453968860718466,-0.024312977189708193,0.07718960642512293,3,yes,-7.499560257279512,-36.24233477174655,48.97078063672045,76.80767553423463,-0.0038593642827519647,-0.011260575225101307,0.1144892895750198,-0.0031145659500084744,-0.010421110272140835,0.12115438225730901,-0.04780022376492149,0.09372118937953516,4,no,-0.6897092623395165,1.1430858871147058,99.17139119058002,98.05058874836459,-0.03389098860851289,-0.029862406914949874,0.21530584203300607,-0.024461424405576193,-0.02025067786929685,0.1684346091666722,-0.045305913278841356,0.08934190858048503,7,no,-3.742160950899742,-8.01207946019912,85.01962494548626,92.42477104230265,-0.0411593244324181,-0.03813812393447641,0.2431702084534988,-0.03257747059652738,-0.030566873292199925,0.20117431728071444,-0.051851289921266974,0.09223718296894187,6,no,-7.466225241634615,-7.547854486074569,88.88791975577846,96.14478848669864
sregular,-0.020217608544827084,-0.007321169587943141,0.06362748141967378,-5.71908325042933e-4,0.002793367244800657,0.006628587512917394,-0.006528928321431621,0.07785612146116647,7,no,-11.38784017166473,-6.630911750365668,91.86655037069342,98.39075447012647,-0.015758357972705028,4.512217724117057e-4,0.06424936907924239,-0.014440126300658607,0.0017808026914644393,0.06987731963999189,-0.025010627956934123,0.09697228008279313,2,no,-30.088139457824347,-0.9650392595516912,98.46053205407763,99.41997383340602,-0.02252923127002164,-0.007968025712917756,0.08499548585830508,-0.013958221540855811,-0.003084780069693552,0.062030171580359506,-0.01893002549913632,0.08887520760698196,4,no,-14.527480533150936,-3.117157574957074,95.96598342782382,99.05364151766246,-0.028579376349792338,-0.013794213034188832,0.10800776876956952,-0.022298024260987842,-0.009858787163759097,0.09348120989942321,-0.028922595710997062,0.0842673992964494,4,no,-29.051789206031764,-2.85194713031138,95.52115133013518,98.32533798517227
wregular,0.0023510243081174553,3.308736056356065e-4,-0.003330817218980875,0.004144898328094143,0.001917647330700191,-0.0013328396126979225,-0.012288628329303497,0.07107945225473213,6,yes,3.7008792010291893,-0.32094142818934723,97.52289576973398,97.83689489751417,0.007395182127825431,0.008137787085436096,-0.03880766718028028,0.008718139846987924,0.009101939324743138,-0.03719625910133961,-0.020931788135485588,0.08523827290551944,4,no,-26.133454178517397,-1.1312513649268328,98.71783689489752,99.84736153510684,0.005955853757522764,0.003922153778117651,-0.014211061792141821,0.00692270443762405,0.00478271900785536,-0.012857538013730463,-0.011619279643911185,0.07157886405026301,8,no,4.751269037348558,-0.8782329952136252,98.44308765808984,99.31530745747928,-0.0087148688439503,-0.005912519312892828,0.03588965815445566,-0.007878335136751694,-0.005121894555022488,0.03655335171893426,-0.020853687750333444,0.06922971589943915,6,no,-7.731597681986047,1.0993430754792999,98.66114260793721,97.58831225468818
random,-0.022970453618398404,-0.011215222862206956,0.0588821600067696,-0.019167386598230737,-0.008021044965653049,0.06497972638535932,-0.026933155611361656,0.08633357670701355,3,no,-20.791034560924857,-1.2588723717691117,96.4631487134758,97.69297863061492,-0.0031525951647577294,0.008905314402057593,-0.05223860058122598,-0.0028556048963881003,0.009300818822875076,-0.04733852710935671,-0.018191008697333325,0.10597053305287608,2,no,-23.087604757855114,-0.24945295404814197,99.40252943741822,99.65111208024422,-0.010970345127364348,-0.007686591567494308,-0.009207750246028379,-0.009635774498945773,-0.006517937341618679,-0.007960638054870905,-0.022553527964382522,0.08570674233327003,3,no,-13.065344655343477,1.6665169346869113,98.70475359790667,97.08678587003925,-0.023544618120114172,-0.013286692269381187,0.05283473948591089,-0.01894900652860787,-0.009312900861942586,0.05942641680398164,-0.03020602596577876,0.08702039408286358,3,no,-25.483745712982497,-3.580483031623899,94.53990405582206,98.05058874836459
wclust,-0.02973638126945087,-0.024039716886072267,0.0664693108014619,-0.012366436806828543,-0.010671669434292784,0.05154092077329664,-0.016019571061379106,0.06589180660191866,6,no,5.258782530089005,0.16600954554887418,84.20409943305714,84.06454426515482,-0.004884817454948703,0.0012752507455577183,0.002986847084306299,0.0026978983882993413,0.006391130308601958,-0.010721248290677221,-0.015801434650054555,0.08956281393990949,6,no,-2.3560316996800794,4.910926931504242,96.05320540776276,91.55691234191016,-0.03477829381747989,-0.02032493878315461,0.13647794243029587,-0.024058769291666518,-0.012156873134017226,0.12254610892331486,-0.041092513408576545,0.08448784391933874,4,no,-23.10712497914734,3.94634146341463,92.93065852594854,89.40252943741824,-0.022881235314094903,-0.01762930725756083,0.062293045000350045,-0.008300423900068438,-0.006354650885300878,0.03753576744444931,-0.017233220927702853,0.07732075749337358,8,no,-3.6756879828765667,-1.0497929307521912,89.61186218927169,90.56258177060619
sclust,-0.10252430495558137,-0.07241424103240565,0.3808152672351657,-0.022077072732447543,-0.01898101718169746,0.14235412060299157,-0.023970388532812158,0.05832035535758997,6,yes,-2.562744270569388,-15.841458781815884,57.96772786742259,68.87919755778456,-0.012098850330260924,0.001180393221485193,0.003151707809195381,0.011787256103514387,0.018262131714491495,-0.014069806749525182,-0.016657276330068596,0.10076334265810184,7,yes,11.01607535717129,-3.0559560909809624,90.89402529437419,93.7592673353685,-0.027475100444449896,-0.010389432012623823,0.10556295129794357,-0.014668197580549214,0.00021603743837936284,0.1194447878759487,-0.028443493201910655,0.08397195468136513,6,no,22.719025439914862,-0.8525312514967017,90.27911033580463,91.05538595726122,-0.062486570105290865,-0.043351647052711315,0.25432057986951606,-0.054025431783235225,-0.03483853493300139,0.28353299603427307,-0.07058193313370027,0.08440802645199182,3,no,-13.319482377856934,-1.9528586734196889,87.8020061055386,89.55080680331443
