"","method","variate","design","number","RMSE","MEC"
"70","exhaustive_old","AGB","clusterGapped",70,30.1097262048143,0.832088446494373
"71","exhaustive_old","AGB","clusterGapped",71,34.048958344589,0.785278947532888
"72","exhaustive_old","AGB","clusterGapped",72,37.2324656817079,0.743249934720219
"73","exhaustive_old","AGB","clusterGapped",73,29.7759508752246,0.835790512558053
"74","exhaustive_old","AGB","clusterGapped",74,30.9484970355488,0.822603072736996
"75","exhaustive_old","AGB","clusterGapped",75,32.6821329860233,0.802172003542659
"76","exhaustive_old","AGB","clusterGapped",76,33.0095275709332,0.798188651421209
"77","exhaustive_old","AGB","clusterGapped",77,30.3591122422274,0.829295447831262
"78","exhaustive_old","AGB","clusterGapped",78,33.2031247137124,0.795814508305136
"79","exhaustive_old","AGB","clusterGapped",79,32.9501569192362,0.798913950878702
"80","exhaustive_old","AGB","clusterGapped",80,29.6566367120729,0.837103872014775
"81","exhaustive_old","AGB","clusterGapped",81,31.1921804054321,0.819798486216951
"82","exhaustive_old","AGB","clusterGapped",82,29.6483656010844,0.837194721431359
"83","exhaustive_old","AGB","clusterGapped",83,30.1511493347414,0.831626123690565
"84","exhaustive_old","AGB","clusterGapped",84,33.813868608424,0.788233778096564
"85","exhaustive_old","AGB","clusterGapped",85,31.2703037304,0.818894697452835
"86","exhaustive_old","AGB","clusterGapped",86,31.0453321170991,0.821491217741472
"87","exhaustive_old","AGB","clusterGapped",87,34.5919212990867,0.778376231512821
"88","exhaustive_old","AGB","clusterGapped",88,31.2998034750697,0.818552834434246
"89","exhaustive_old","AGB","clusterGapped",89,31.4274465437806,0.817069905114349
"90","exhaustive_old","AGB","clusterGapped",90,33.8282253109193,0.78805391638953
"91","exhaustive_old","AGB","clusterGapped",91,36.6230072819096,0.751586625969908
"92","exhaustive_old","AGB","clusterGapped",92,36.8788342819524,0.748103962060579
"93","exhaustive_old","AGB","clusterGapped",93,35.6317719533024,0.764851719537873
"94","exhaustive_old","AGB","clusterGapped",94,32.1710649458378,0.808310713102539
"95","exhaustive_old","AGB","clusterGapped",95,30.4973807994598,0.827736981874576
"96","exhaustive_old","AGB","clusterGapped",96,30.7042193913081,0.825392422060696
"97","exhaustive_old","AGB","clusterGapped",97,32.7276264816622,0.801620867482186
"98","exhaustive_old","AGB","clusterGapped",98,30.084628127716,0.832368256458893
"99","exhaustive_old","AGB","clusterGapped",99,32.5667569380663,0.803566302020083
"100","exhaustive_old","AGB","clusterGapped",100,31.753494196516,0.813254557319
"101","exhaustive_old","AGB","clusterMedium",1,29.7944872517151,0.835585998765258
"102","exhaustive_old","AGB","clusterMedium",2,30.1394213361449,0.831757084173188
"103","exhaustive_old","AGB","clusterMedium",3,29.3276367646898,0.840698045449558
"104","exhaustive_old","AGB","clusterMedium",4,30.2307004462039,0.830736472770631
"105","exhaustive_old","AGB","clusterMedium",5,28.6044088497179,0.848458032767258
"106","exhaustive_old","AGB","clusterMedium",6,28.9104122976336,0.845198367083108
"107","exhaustive_old","AGB","clusterMedium",7,30.4136978280737,0.828681043510972
"108","exhaustive_old","AGB","clusterMedium",8,29.0020518240122,0.844215438765449
"109","exhaustive_old","AGB","clusterMedium",9,29.7229039976164,0.836375081045818
"110","exhaustive_old","AGB","clusterMedium",10,29.2779147258997,0.841237748225786
"111","exhaustive_old","AGB","clusterMedium",11,29.9829784012433,0.833499128608173
"112","exhaustive_old","AGB","clusterMedium",12,29.7077018962344,0.836542413719102
"113","exhaustive_old","AGB","clusterMedium",13,29.7196550229305,0.836410850374731
"114","exhaustive_old","AGB","clusterMedium",14,29.7302310884905,0.836294399668099
"115","exhaustive_old","AGB","clusterMedium",15,30.2161865396694,0.830898962243044
"116","exhaustive_old","AGB","clusterMedium",16,30.0903361717922,0.832304639906975
"117","exhaustive_old","AGB","clusterMedium",17,30.7215376471204,0.825195396925134
"118","exhaustive_old","AGB","clusterMedium",18,30.8741347305443,0.823454538713761
"119","exhaustive_old","AGB","clusterMedium",19,29.7709996611032,0.835845118285992
"120","exhaustive_old","AGB","clusterMedium",20,29.7756814898452,0.835793483777018
"121","exhaustive_old","AGB","clusterMedium",21,30.1772054647143,0.831334986048188
"122","exhaustive_old","AGB","clusterMedium",22,30.2367823477587,0.830668360047635
"123","exhaustive_old","AGB","clusterMedium",23,30.7494432673403,0.824877688457615
"124","exhaustive_old","AGB","clusterMedium",24,30.2027196122989,0.831049660539596
"125","exhaustive_old","AGB","clusterMedium",25,29.9397500856645,0.833978891728314
"126","exhaustive_old","AGB","clusterMedium",26,29.1279092099157,0.842860418764083
"127","exhaustive_old","AGB","clusterMedium",27,29.7956461970782,0.835573207771494
"128","exhaustive_old","AGB","clusterMedium",28,29.5542413474362,0.838226791881033
"129","exhaustive_old","AGB","clusterMedium",29,29.1665595916398,0.842443119034125
"130","exhaustive_old","AGB","clusterMedium",30,30.4153356275212,0.828662591716735
"131","exhaustive_old","AGB","clusterMedium",31,31.2894427737776,0.81867293798336
"132","exhaustive_old","AGB","clusterMedium",32,29.3942583002078,0.839973473248594
"133","exhaustive_old","AGB","clusterMedium",33,29.3777710339145,0.84015294095233
"134","exhaustive_old","AGB","clusterMedium",34,30.6968957564873,0.82547570765835
"135","exhaustive_old","AGB","clusterMedium",35,29.354799700301,0.840402821348874
"136","exhaustive_old","AGB","clusterMedium",36,29.5405467542367,0.838376679335011
"137","exhaustive_old","AGB","clusterMedium",37,29.186436614714,0.842228295691857
"138","exhaustive_old","AGB","clusterMedium",38,29.0755368748078,0.843424988513152
"139","exhaustive_old","AGB","clusterMedium",39,29.8984207173051,0.834436932401191
"140","exhaustive_old","AGB","clusterMedium",40,28.992553892297,0.844317458363952
"141","exhaustive_old","AGB","clusterMedium",41,29.8091001608312,0.835424683283317
"142","exhaustive_old","AGB","clusterMedium",42,29.1871872024971,0.84222018075559
"143","exhaustive_old","AGB","clusterMedium",43,29.0101999191401,0.844127891460659
"144","exhaustive_old","AGB","clusterMedium",44,30.1905138802776,0.831186187707157
"145","exhaustive_old","AGB","clusterMedium",45,28.9357501058593,0.844926904133129
"146","exhaustive_old","AGB","clusterMedium",46,30.0498721465897,0.832755353833586
"147","exhaustive_old","AGB","clusterMedium",47,29.6618057158608,0.83704708310173
"148","exhaustive_old","AGB","clusterMedium",48,28.99273369323,0.84431552738863
"149","exhaustive_old","AGB","clusterMedium",49,29.3043843651285,0.840950550232686
"150","exhaustive_old","AGB","clusterMedium",50,29.8273802011925,0.835222774077061
"151","exhaustive_old","AGB","clusterMedium",51,29.9436804748911,0.833935299486943
"152","exhaustive_old","AGB","clusterMedium",52,29.4945657224303,0.838879433960001
"153","exhaustive_old","AGB","clusterMedium",53,30.3987455169856,0.828849453459865
"154","exhaustive_old","AGB","clusterMedium",54,29.0641067240974,0.843548069590452
"155","exhaustive_old","AGB","clusterMedium",55,29.2456226661932,0.841587768565882
"156","exhaustive_old","AGB","clusterMedium",56,30.2481072600095,0.830541493037523
"157","exhaustive_old","AGB","clusterMedium",57,30.3597312424904,0.829288486676465
"158","exhaustive_old","AGB","clusterMedium",58,29.2207125093992,0.841857511017306
"159","exhaustive_old","AGB","clusterMedium",59,29.6260942010889,0.837439223247628
"160","exhaustive_old","AGB","clusterMedium",60,29.6945568586822,0.836687034851334
"161","exhaustive_old","AGB","clusterMedium",61,30.0948333081369,0.832254510506633
"162","exhaustive_old","AGB","clusterMedium",62,28.8254346022606,0.846107060655881
"163","exhaustive_old","AGB","clusterMedium",63,29.4529339150612,0.839333958798101
"164","exhaustive_old","AGB","clusterMedium",64,30.1612513075606,0.831513279351336
"165","exhaustive_old","AGB","clusterMedium",65,29.447751749551,0.83939049135089
"166","exhaustive_old","AGB","clusterMedium",66,30.6827095729962,0.825636978789268
"167","exhaustive_old","AGB","clusterMedium",67,29.9962361888953,0.833351850295426
"168","exhaustive_old","AGB","clusterMedium",68,30.0928189540651,0.8322769653578
"169","exhaustive_old","AGB","clusterMedium",69,29.3363499987897,0.840603374240542
"170","exhaustive_old","AGB","clusterMedium",70,29.6829953456959,0.83681418121043
"171","exhaustive_old","AGB","clusterMedium",71,30.0954619025892,0.832247502992471
"172","exhaustive_old","AGB","clusterMedium",72,29.5540429046351,0.838228964335431
"173","exhaustive_old","AGB","clusterMedium",73,30.52129555377,0.827466713224222
"174","exhaustive_old","AGB","clusterMedium",74,29.4175727528869,0.839719518175714
"175","exhaustive_old","AGB","clusterMedium",75,29.6678825351321,0.836980307877723
